Slice,Area,file,id_number,TxRed,YFP,integrated_old
429,448,3201,0,239.53000000000003,403.70200000000006,403.70200000000006
428,382,3201,0,242.762,406.97499999999997,406.97499999999997
427,431,3201,0,236.38800000000003,402.178,402.178
426,402,3201,0,245.91500000000002,402.20200000000006,402.20200000000006
425,455,3201,0,247.342,386.2900000000001,386.2900000000001
424,442,3201,0,236.66299999999998,386.125,386.125
423,366,3201,0,246.65500000000003,375.21099999999996,375.21099999999996
422,329,3201,0,262.531,399.22499999999997,399.22499999999997
421,412,3201,0,270.77700000000004,437.446,437.446
420,447,3201,0,277.01099999999997,454.911,454.911
419,395,3201,0,282.562,431.249,431.249
418,327,3201,0,299.163,455.9050000000001,455.9050000000001
417,363,3201,0,285.538,426.64099999999996,426.64099999999996
416,369,3201,0,298.144,442.99100000000004,442.99100000000004
415,379,3201,0,277.34799999999996,418.557,418.557
414,336,3201,0,269.19100000000003,387.256,387.256
413,356,3201,0,262.908,379.157,379.157
412,391,3201,0,235.61999999999995,335.01700000000005,335.01700000000005
411,313,3201,0,237.75,342.976,342.976
410,376,3201,0,226.112,318.187,318.187
409,355,3201,0,225.84799999999998,314.212,314.212
408,311,3201,0,233.541,338.442,338.442
407,332,3201,0,204.24,285.09800000000007,285.09800000000007
406,574,3201,0,229.10999999999996,320.423,320.423
405,375,3201,0,225.059,311.925,311.925
404,356,3201,0,223.143,323.712,323.712
403,426,3201,0,224.685,317.322,317.322
402,403,3201,0,229.12099999999998,327.205,327.205
401,374,3201,0,228.44200000000004,323.345,323.345
400,372,3201,0,228.959,317.353,317.353
399,436,3201,0,227.623,318.21799999999996,318.21799999999996
398,404,3201,0,221.65499999999997,315.2850000000001,315.2850000000001
397,322,3201,0,215.674,302.15200000000004,302.15200000000004
396,329,3201,0,211.422,294.715,294.715
395,400,3201,0,227.188,323.758,323.758
394,385,3201,0,234.71100000000004,337.518,337.518
393,360,3201,0,241.91700000000006,325.089,325.089
392,376,3201,0,219.87399999999997,318.34000000000003,318.34000000000003
391,386,3201,0,229.88200000000003,329.981,329.981
390,371,3201,0,221.597,312.669,312.669
389,473,3201,0,217.261,328.149,328.149
388,463,3201,0,213.56199999999998,310.005,310.005
387,429,3201,0,205.70000000000002,306.295,306.295
386,437,3201,0,211.63500000000002,306.27600000000007,306.27600000000007
385,467,3201,0,205.389,303.66,303.66
384,447,3201,0,210.626,308.747,308.747
383,407,3201,0,219.22,304.59299999999996,304.59299999999996
382,396,3201,0,215.07700000000003,305.05400000000003,305.05400000000003
381,387,3201,0,233.35399999999996,326.5,326.5
380,377,3201,0,224.89700000000002,308.253,308.253
379,614,3201,0,286.328,413.7779999999999,413.7779999999999
378,641,3201,0,287.942,399.39099999999996,399.39099999999996
377,544,3201,0,287.106,397.5769999999999,397.5769999999999
376,472,3201,0,286.4309999999999,397.44100000000003,397.44100000000003
375,591,3201,0,296.11199999999997,400.47400000000005,400.47400000000005
374,431,3201,0,291.73,387.496,387.496
373,511,3201,0,296.802,404.75000000000006,404.75000000000006
372,490,3201,0,280.028,375.2449999999999,375.2449999999999
371,404,3201,0,292.847,374.85699999999997,374.85699999999997
370,459,3201,0,298.13700000000006,392.794,392.794
369,471,3201,0,300.151,392.674,392.674
368,456,3201,0,282.43699999999995,366.477,366.477
367,462,3201,0,287.467,376.3829999999999,376.3829999999999
366,572,3201,0,292.503,378.34099999999995,378.34099999999995
365,447,3201,0,297.996,366.6880000000001,366.6880000000001
364,484,3201,0,284.118,364.0040000000001,364.0040000000001
363,463,3201,0,288.63700000000006,369.54600000000005,369.54600000000005
362,428,3201,0,271.36,357.399,357.399
361,451,3201,0,271.93600000000004,356.775,356.775
