, ,Label,Area,Mean_ph,XM,YM,Slice,LastIndex,PreviousCell,Background_ph,Mean_TxRed,Background_TxRed
0,1,ori_ph:0591-0194-0112:initial_folder_80_0590,889,786.745,112.054,195.62099999999998,591,1,2,783.694,451.094,449.441
1,2,ori_ph:0590-0181-0112:initial_folder_80_0589,846,790.818,112.195,181.521,590,0,3,783.29,451.94699999999995,449.50699999999995
2,3,ori_ph:0589-0147-0112:initial_folder_80_0588,788,796.948,111.925,147.534,589,0,4,783.438,450.915,449.23699999999997
3,4,ori_ph:0588-0148-0112:initial_folder_80_0587,776,797.9780000000001,112.027,148.946,588,0,5,783.998,450.827,449.392
4,5,ori_ph:0587-0150-0112:initial_folder_80_0586,704,797.205,111.779,151.011,587,0,6,791.4960000000001,452.31699999999995,450.531
5,6,ori_ph:0586-0158-0112:initial_folder_80_0585,1015,791.227,111.524,159.50799999999998,586,0,7,788.431,451.211,449.144
6,7,ori_ph:0585-0158-0111:initial_folder_80_0584,943,795.117,111.176,158.526,585,0,8,788.154,450.616,449.034
7,8,ori_ph:0584-0143-0111:initial_folder_80_0583,885,793.99,111.197,143.424,584,0,9,787.701,452.191,449.412
8,9,ori_ph:0583-0132-0111:initial_folder_80_0582,841,800.523,111.39,132.142,583,0,10,787.643,451.12199999999996,449.217
9,10,ori_ph:0582-0131-0111:initial_folder_80_0581,823,801.8489999999999,111.206,131.981,582,0,11,787.061,452.309,449.865
10,11,ori_ph:0581-0133-0111:initial_folder_80_0580,750,804.2710000000001,111.164,133.472,581,0,12,786.2819999999999,450.043,448.978
11,12,ori_ph:0580-0137-0111:initial_folder_80_0579,689,798.313,111.199,137.611,580,0,13,787.003,451.473,449.11699999999996
12,13,ori_ph:0579-0108-0111:initial_folder_80_0578,559,828.038,111.146,107.272,579,0,14,786.557,451.38599999999997,449.184
13,14,ori_ph:0578-0104-0114:initial_folder_80_0577,702,836.1510000000001,113.98,103.884,578,0,15,786.242,450.282,449.598
14,15,ori_ph:0577-0100-0114:initial_folder_80_0576,593,843.9169999999999,114.162,100.27600000000001,577,0,16,786.005,451.07800000000003,449.18699999999995
15,16,ori_ph:0576-0098-0114:initial_folder_80_0575,625,845.002,113.55,99.1,576,0,17,786.062,450.875,449.64599999999996
16,17,ori_ph:0575-0095-0114:initial_folder_80_0574,530,853.466,112.96700000000001,96.757,575,0,18,785.7389999999999,450.9,449.375
17,18,ori_ph:0574-0097-0112:initial_folder_80_0573,515,848.711,112.09899999999999,97.376,574,0,19,785.842,450.79,449.096
18,19,ori_ph:0573-0101-0112:initial_folder_80_0572,525,845.556,111.977,100.921,573,0,20,786.342,449.36800000000005,449.154
19,20,ori_ph:0572-0088-0114:initial_folder_80_0571,344,878.0930000000001,114.209,88.781,572,0,21,788.612,450.54900000000004,449.102
20,21,ori_ph:0571-0090-0114:initial_folder_80_0570,351,887.775,113.56299999999999,90.06200000000001,571,0,22,786.02,450.504,449.413
21,22,ori_ph:0570-0089-0113:initial_folder_80_0569,311,874.0160000000001,112.23200000000001,89.681,570,0,23,786.4760000000001,452.01599999999996,449.37199999999996
22,23,ori_ph:0569-0098-0114:initial_folder_80_0568,607,852.013,113.728,99.414,569,0,24,785.938,450.63800000000003,449.015
23,24,ori_ph:0568-0100-0116:initial_folder_80_0567,472,849.627,115.84,99.28299999999999,568,0,25,785.903,450.95599999999996,449.45
24,25,ori_ph:0567-0094-0116:initial_folder_80_0566,383,866.807,116.336,94.09100000000001,567,0,26,785.3589999999999,449.786,449.33099999999996
25,26,ori_ph:0566-0091-0116:initial_folder_80_0565,344,873.436,116.116,90.73299999999999,566,0,27,785.023,448.381,449.14599999999996
26,27,ori_ph:0565-0089-0116:initial_folder_80_0564,288,878.7639999999999,116.53299999999999,88.63600000000001,565,0,28,785.951,449.84,449.337
27,28,ori_ph:0564-0089-0116:initial_folder_80_0563,297,880.5189999999999,116.56200000000001,89.235,564,0,29,785.807,449.704,449.034
28,29,ori_ph:0563-0098-0115:initial_folder_80_0562,531,854.1469999999999,115.539,97.79899999999999,563,0,30,785.342,451.356,448.968
29,30,ori_ph:0562-0096-0116:initial_folder_80_0561,493,850.55,116.06200000000001,95.681,562,0,31,786.475,449.213,449.051
30,31,ori_ph:0561-0094-0116:initial_folder_80_0560,423,860.404,116.28399999999999,93.932,561,0,32,786.1339999999999,450.102,449.49699999999996
31,32,ori_ph:0560-0092-0116:initial_folder_80_0559,404,872.49,116.14,91.93299999999999,560,0,33,785.794,451.342,449.25699999999995
32,33,ori_ph:0559-0090-0111:initial_folder_80_0558,401,871.082,111.09,91.206,559,0,34,785.472,450.825,449.05800000000005
33,34,ori_ph:0558-0101-0108:initial_folder_80_0557,737,847.3580000000001,108.09,101.87299999999999,558,0,35,786.419,450.269,449.348
34,35,ori_ph:0557-0099-0106:initial_folder_80_0556,666,853.194,107.03200000000001,101.09100000000001,557,0,36,786.1010000000001,450.718,449.224
35,36,ori_ph:0556-0099-0106:initial_folder_80_0555,579,853.477,106.895,99.469,556,0,37,785.564,451.49199999999996,449.105
36,37,ori_ph:0555-0094-0107:initial_folder_80_0554,527,865.932,107.964,95.509,555,0,38,786.013,451.06300000000005,449.50300000000004
37,38,ori_ph:0554-0091-0107:initial_folder_80_0553,437,887.2860000000001,107.681,92.38,554,0,39,786.5139999999999,450.597,449.05400000000003
38,39,ori_ph:0553-0091-0106:initial_folder_80_0552,441,885.592,107.31299999999999,92.889,553,0,40,785.9730000000001,451.474,449.458
39,40,ori_ph:0552-0088-0107:initial_folder_80_0551,372,886.296,108.37299999999999,89.96600000000001,552,0,41,785.39,450.06699999999995,449.13699999999994
