, ,Label,Area,Mean_ph,XM,YM,Slice,LastIndex,PreviousCell,Background_ph,Mean_TxRed,Background_TxRed
0,1,ori_ph:0593-0182-0099:initial_folder_10_0592,576,1218.413,99.51899999999999,182.253,593,1,2,785.927,403.844,402.621
1,2,ori_ph:0592-0182-0100:initial_folder_10_0591,525,1224.379,100.162,183.925,592,0,3,785.056,404.366,403.015
2,3,ori_ph:0591-0191-0099:initial_folder_10_0590,459,1308.9589999999998,99.984,192.41299999999998,591,0,4,785.827,403.29400000000004,402.759
3,4,ori_ph:0590-0194-0099:initial_folder_10_0589,490,1357.4779999999998,100.226,194.332,590,0,5,785.5160000000001,403.86300000000006,402.51
4,5,ori_ph:0589-0280-0100:initial_folder_10_0588,488,647.664,100.565,280.02,589,0,6,785.725,403.30300000000005,402.61199999999997
5,6,ori_ph:0588-0375-0100:initial_folder_10_0587,380,627.629,100.323,375.032,588,0,7,785.318,404.289,402.47900000000004
6,7,ori_ph:0587-0386-0101:initial_folder_10_0586,701,639.435,101.009,385.999,587,0,8,784.753,403.05800000000005,402.517
7,8,ori_ph:0586-0389-0101:initial_folder_10_0585,650,636.734,100.80799999999999,390.06699999999995,586,0,9,784.791,403.994,403.176
8,9,ori_ph:0585-0405-0101:initial_folder_10_0584,518,646.436,101.553,404.86199999999997,585,0,10,785.179,404.56,403.162
9,10,ori_ph:0584-0404-0101:initial_folder_10_0583,502,644.606,101.73299999999999,404.168,584,0,11,783.7339999999999,405.277,403.43199999999996
10,11,ori_ph:0583-0411-0102:initial_folder_10_0582,373,650.107,102.071,410.59,583,0,12,784.1460000000001,402.879,402.99199999999996
11,12,ori_ph:0582-0395-0100:initial_folder_10_0581,675,639.117,100.874,395.593,582,0,13,783.493,403.72900000000004,403.097
12,13,ori_ph:0581-0404-0102:initial_folder_10_0580,524,647.502,101.84,405.36699999999996,581,0,14,785.808,404.903,402.842
13,14,ori_ph:0580-0406-0102:initial_folder_10_0579,500,642.874,102.179,406.76300000000003,580,0,15,782.962,404.00199999999995,402.93199999999996
14,15,ori_ph:0579-0405-0102:initial_folder_10_0578,468,653.182,102.117,406.055,579,0,16,784.049,406.14300000000003,403.26599999999996
15,16,ori_ph:0578-0402-0101:initial_folder_10_0577,467,649.625,101.454,401.88599999999997,578,0,17,784.955,404.36800000000005,403.959
16,17,ori_ph:0577-0404-0101:initial_folder_10_0576,383,658.467,101.16,404.81699999999995,577,0,18,784.927,405.726,403.001
17,18,ori_ph:0576-0388-0101:initial_folder_10_0575,535,664.74,100.434,389.662,576,0,19,780.6460000000001,404.82199999999995,403.21
18,19,ori_ph:0575-0397-0100:initial_folder_10_0574,529,655.915,100.538,397.666,575,0,20,785.997,406.86,405.995
19,20,ori_ph:0574-0399-0101:initial_folder_10_0573,473,658.372,100.57600000000001,399.836,574,0,21,783.16,403.56699999999995,402.81199999999995
20,21,ori_ph:0573-0403-0101:initial_folder_10_0572,427,655.2719999999999,100.735,403.601,573,0,22,785.242,405.81,402.666
21,22,ori_ph:0572-0411-0102:initial_folder_10_0571,351,669.068,102.021,411.716,572,0,23,784.538,404.786,402.73900000000003
22,23,ori_ph:0571-0408-0100:initial_folder_10_0570,327,672.471,100.042,408.83,571,0,24,785.947,406.49800000000005,402.999
23,24,ori_ph:0570-0396-0102:initial_folder_10_0569,565,654.246,101.316,397.533,570,0,25,783.863,404.77,403.064
24,25,ori_ph:0569-0410-0104:initial_folder_10_0568,411,653.866,104.14299999999999,410.477,569,0,26,784.025,404.915,402.996
25,26,ori_ph:0568-0412-0104:initial_folder_10_0567,354,656.873,103.829,412.515,568,0,27,783.179,404.37,403.135
26,27,ori_ph:0567-0413-0104:initial_folder_10_0566,321,659.6010000000001,104.11200000000001,413.954,567,0,28,785.518,402.667,402.593
27,28,ori_ph:0566-0414-0104:initial_folder_10_0565,316,657.456,103.626,414.055,566,0,29,785.454,402.566,402.913
28,29,ori_ph:0565-0415-0104:initial_folder_10_0564,310,662.913,103.36200000000001,414.814,565,0,30,784.169,405.577,403.462
29,30,ori_ph:0564-0415-0104:initial_folder_10_0563,306,662.19,104.18,415.634,564,0,31,783.298,404.82,402.593
30,31,ori_ph:0563-0415-0104:initial_folder_10_0562,299,659.258,104.316,415.496,563,0,32,784.872,404.251,402.783
