, ,Label,Area,Mean_ph,XM,YM,Slice,LastIndex,PreviousCell,Background_ph,Mean_TxRed,Background_TxRed
0,1,ori_ph:0600-0253-0097:initial_folder_60_0599,386,977.6110000000001,97.195,252.46099999999998,600,1,2,881.346,404.754,403.684
1,2,ori_ph:0599-0253-0097:initial_folder_60_0598,603,996.363,97.27600000000001,251.24,599,0,3,883.2280000000001,405.202,404.14300000000003
2,3,ori_ph:0598-0263-0097:initial_folder_60_0597,525,836.71,96.824,263.02099999999996,598,0,4,882.808,404.76800000000003,403.99
3,4,ori_ph:0597-0262-0097:initial_folder_60_0596,483,853.327,96.648,260.32599999999996,597,0,5,881.617,404.404,404.045
4,5,ori_ph:0596-0265-0097:initial_folder_60_0595,483,813.263,96.52,264.485,596,0,6,882.61,403.634,403.894
5,6,ori_ph:0595-0267-0097:initial_folder_60_0594,501,807.75,96.736,265.644,595,0,7,884.1489999999999,405.277,404.144
6,7,ori_ph:0594-0267-0096:initial_folder_60_0593,461,790.6619999999999,96.337,266.638,594,0,8,882.447,404.575,404.445
7,8,ori_ph:0593-0260-0096:initial_folder_60_0592,611,899.882,96.635,258.643,593,0,9,881.9789999999999,404.51599999999996,404.019
8,9,ori_ph:0592-0262-0097:initial_folder_60_0591,528,840.288,96.696,262.268,592,0,10,881.666,403.72900000000004,404.131
9,10,ori_ph:0591-0264-0097:initial_folder_60_0590,534,824.966,97.306,263.691,591,0,11,881.6030000000001,404.506,403.915
10,11,ori_ph:0590-0264-0097:initial_folder_60_0589,511,834.5260000000001,97.056,263.235,590,0,12,881.924,403.546,404.327
11,12,ori_ph:0589-0265-0096:initial_folder_60_0588,508,816.3580000000001,96.836,264.726,589,0,13,881.944,403.69300000000004,404.458
12,13,ori_ph:0588-0265-0096:initial_folder_60_0587,494,816.8380000000001,96.57600000000001,265.11,588,0,14,880.817,405.043,404.37800000000004
13,14,ori_ph:0587-0296-0097:initial_folder_60_0586,418,649.766,97.338,295.807,587,0,15,882.535,403.598,404.088
14,15,ori_ph:0586-0284-0097:initial_folder_60_0585,664,706.498,96.929,284.115,586,0,16,881.455,404.274,404.32599999999996
15,16,ori_ph:0585-0285-0096:initial_folder_60_0584,601,689.567,96.556,284.491,585,0,17,881.438,403.631,403.905
16,17,ori_ph:0584-0287-0096:initial_folder_60_0583,546,676.852,96.734,287.527,584,0,18,882.77,404.38300000000004,404.13
17,18,ori_ph:0583-0290-0096:initial_folder_60_0582,468,660.925,96.58,289.889,583,0,19,881.927,403.923,404.087
18,19,ori_ph:0582-0289-0096:initial_folder_60_0581,437,665.302,96.5,289.217,582,0,20,880.6110000000001,403.95,404.153
19,20,ori_ph:0581-0285-0096:initial_folder_60_0580,665,693.7560000000001,96.51100000000001,284.51099999999997,581,0,21,882.683,404.241,404.115
20,21,ori_ph:0580-0304-0095:initial_folder_60_0579,628,643.285,95.97,303.375,580,0,22,879.315,404.879,404.379
21,22,ori_ph:0579-0306-0096:initial_folder_60_0578,601,638.705,96.649,306.14,579,0,23,879.195,404.18800000000005,404.464
22,23,ori_ph:0578-0301-0096:initial_folder_60_0577,496,659.357,96.273,301.238,578,0,24,880.7180000000001,405.966,405.165
23,24,ori_ph:0577-0312-0097:initial_folder_60_0576,465,644.4730000000001,96.931,312.743,577,0,25,875.76,404.092,403.914
24,25,ori_ph:0576-0320-0097:initial_folder_60_0575,360,638.367,97.48100000000001,320.98900000000003,576,0,26,878.25,405.29699999999997,404.279
25,26,ori_ph:0575-0326-0096:initial_folder_60_0574,578,687.818,97.086,325.654,575,0,27,909.9760000000001,412.708,412.77
26,27,ori_ph:0574-0325-0096:initial_folder_60_0573,539,638.976,96.47200000000001,325.836,574,0,28,877.574,405.199,404.144
27,28,ori_ph:0573-0326-0097:initial_folder_60_0572,512,638.6659999999999,96.846,326.67400000000004,573,0,29,877.3939999999999,404.48800000000006,404.276
28,29,ori_ph:0572-0328-0097:initial_folder_60_0571,472,639.856,97.213,327.959,572,0,30,876.9730000000001,404.61699999999996,404.245
29,30,ori_ph:0571-0330-0097:initial_folder_60_0570,442,636.778,97.132,330.531,571,0,31,877.6310000000001,405.319,404.189
30,31,ori_ph:0570-0333-0097:initial_folder_60_0569,419,634.372,97.449,333.161,570,0,32,878.505,405.095,404.29900000000004
31,32,ori_ph:0569-0335-0098:initial_folder_60_0568,396,636.8380000000001,97.74700000000001,335.713,569,0,33,879.285,404.85400000000004,404.72900000000004
32,33,ori_ph:0568-0337-0098:initial_folder_60_0567,382,631.482,98.28200000000001,337.30699999999996,568,0,34,879.189,405.029,404.526
33,34,ori_ph:0567-0348-0097:initial_folder_60_0566,285,637.039,97.29899999999999,350.15,567,0,35,879.3330000000001,403.421,404.158
34,35,ori_ph:0566-0338-0097:initial_folder_60_0565,519,636.133,96.991,338.77099999999996,566,0,36,877.806,404.87699999999995,404.23900000000003
35,36,ori_ph:0565-0337-0098:initial_folder_60_0564,513,631.643,97.704,337.392,565,0,37,878.421,404.639,403.99199999999996
36,37,ori_ph:0564-0336-0097:initial_folder_60_0563,487,635.823,97.92200000000001,335.934,564,0,38,878.783,404.452,404.324
37,38,ori_ph:0563-0337-0098:initial_folder_60_0562,473,635.2769999999999,98.0,337.384,563,0,39,875.294,404.647,404.496
38,39,ori_ph:0562-0341-0098:initial_folder_60_0561,432,642.299,97.775,340.981,562,0,40,880.304,404.32199999999995,404.241
39,40,ori_ph:0561-0342-0098:initial_folder_60_0560,394,640.744,97.785,342.249,561,0,41,877.9939999999999,404.449,404.256
40,41,ori_ph:0560-0346-0098:initial_folder_60_0559,364,637.92,98.07700000000001,346.973,560,0,42,877.773,404.82099999999997,404.879
41,42,ori_ph:0559-0349-0098:initial_folder_60_0558,342,636.974,98.115,349.275,559,0,43,876.948,404.17,404.164
42,43,ori_ph:0558-0354-0098:initial_folder_60_0557,329,640.906,98.434,354.67699999999996,558,0,44,878.5269999999999,403.95099999999996,404.452
43,44,ori_ph:0557-0355-0097:initial_folder_60_0556,461,646.119,97.147,356.73400000000004,557,0,45,878.342,403.531,404.399
44,45,ori_ph:0556-0358-0096:initial_folder_60_0555,417,644.293,96.788,359.19699999999995,556,0,46,878.8510000000001,405.655,404.63199999999995
45,46,ori_ph:0555-0361-0096:initial_folder_60_0554,388,640.755,96.94200000000001,361.62699999999995,555,0,47,878.3589999999999,404.76,405.26800000000003
46,47,ori_ph:0554-0364-0097:initial_folder_60_0553,388,643.281,97.163,363.99699999999996,554,0,48,878.817,403.915,404.394
47,48,ori_ph:0553-0368-0096:initial_folder_60_0552,361,645.864,96.76299999999999,367.67800000000005,553,0,49,877.7510000000001,404.914,404.472
48,49,ori_ph:0552-0370-0096:initial_folder_60_0551,315,638.911,96.82,370.095,552,0,50,878.554,405.111,404.37300000000005
49,50,ori_ph:0551-0359-0096:initial_folder_60_0550,571,635.65,97.115,359.269,551,0,51,876.61,405.33099999999996,404.334
50,51,ori_ph:0550-0361-0097:initial_folder_60_0549,500,638.6659999999999,97.041,361.129,550,0,52,876.7869999999999,404.56,404.20300000000003
51,52,ori_ph:0549-0365-0097:initial_folder_60_0548,458,638.784,96.889,364.82199999999995,549,0,53,879.3739999999999,405.70099999999996,404.311
52,53,ori_ph:0548-0366-0097:initial_folder_60_0547,435,634.214,97.038,366.952,548,0,54,877.18,404.908,404.55
53,54,ori_ph:0547-0370-0096:initial_folder_60_0546,390,633.413,96.723,369.495,547,0,55,879.087,405.14099999999996,404.125
54,55,ori_ph:0546-0370-0097:initial_folder_60_0545,363,635.24,97.051,370.615,546,0,56,878.575,406.551,404.38199999999995
55,56,ori_ph:0545-0373-0097:initial_folder_60_0544,308,629.929,97.867,372.816,545,0,57,876.424,404.86,404.087
56,57,ori_ph:0544-0360-0098:initial_folder_60_0543,625,629.752,98.29,360.55199999999996,544,0,58,877.32,404.05,404.311
57,58,ori_ph:0543-0363-0097:initial_folder_60_0542,549,630.619,97.454,362.846,543,0,59,878.816,405.588,404.60400000000004
58,59,ori_ph:0542-0368-0097:initial_folder_60_0541,556,625.212,97.286,368.611,542,0,60,878.2330000000001,404.736,404.639
59,60,ori_ph:0541-0373-0097:initial_folder_60_0540,493,630.215,97.54299999999999,373.37,541,0,61,877.827,405.95300000000003,405.098
60,61,ori_ph:0540-0376-0098:initial_folder_60_0539,441,625.83,97.572,376.67900000000003,540,0,62,879.1419999999999,404.649,404.75800000000004
61,62,ori_ph:0539-0380-0098:initial_folder_60_0538,409,630.866,96.895,381.53,539,0,63,878.735,405.26199999999994,404.56300000000005
62,63,ori_ph:0538-0385-0098:initial_folder_60_0537,406,631.685,97.09200000000001,387.135,538,0,64,878.347,405.03,404.284
63,64,ori_ph:0537-0389-0097:initial_folder_60_0536,278,624.1759999999999,96.071,391.11400000000003,537,0,65,877.456,405.457,404.436
64,65,ori_ph:0536-0391-0096:initial_folder_60_0535,264,626.659,95.258,391.80199999999996,536,0,66,877.81,405.375,404.333
65,66,ori_ph:0535-0405-0099:initial_folder_60_0534,613,607.183,100.156,404.777,535,0,67,877.7760000000001,407.315,404.744
66,67,ori_ph:0534-0407-0099:initial_folder_60_0533,562,607.769,100.16,406.92800000000005,534,0,68,878.174,407.181,404.88
67,68,ori_ph:0533-0408-0100:initial_folder_60_0532,544,607.875,100.588,408.106,533,0,69,879.418,407.287,404.949
68,69,ori_ph:0532-0409-0101:initial_folder_60_0531,483,608.366,101.208,409.051,532,0,70,877.7189999999999,407.85699999999997,404.86300000000006
69,70,ori_ph:0531-0410-0102:initial_folder_60_0530,509,604.399,101.934,410.079,531,0,71,878.936,408.74300000000005,404.889
70,71,ori_ph:0530-0392-0100:initial_folder_60_0529,938,624.77,99.225,393.18,530,0,72,877.163,406.086,404.275
71,72,ori_ph:0529-0390-0100:initial_folder_60_0528,916,627.95,99.322,392.667,529,0,73,878.5189999999999,406.24300000000005,404.401
72,73,ori_ph:0528-0394-0100:initial_folder_60_0527,879,636.628,99.52799999999999,394.57300000000004,528,0,74,878.6410000000001,406.11300000000006,404.542
