Cp_con,YK0083
0.1,1.463
1.0,1.505
10.0,1.465
20.0,1.506
30.0,1.495
40.0,1.535
50.0,1.47
60.0,1.4609999999999999
70.0,1.507
80.0,0.8859999999999999
90.0,0.07200000000000001
100.0,0.006
1000.0,-0.001
