Slice,Area,file,id_number,TxRed,YFP,integrated_old
272,1360,2001,0,337.99300000000005,300.39199999999994,300.39199999999994
271,1296,2001,0,349.033,306.4890000000001,306.4890000000001
270,1275,2001,0,351.25699999999995,314.09000000000003,314.09000000000003
269,1243,2001,0,352.203,314.86000000000007,314.86000000000007
268,1213,2001,0,349.345,316.08299999999997,316.08299999999997
267,1169,2001,0,354.58099999999996,318.563,318.563
266,1176,2001,0,345.927,316.1490000000001,316.1490000000001
265,1187,2001,0,350.9769999999999,313.943,313.943
264,1268,2001,0,338.29900000000004,310.6189999999999,310.6189999999999
263,1161,2001,0,338.82100000000014,318.2629999999999,318.2629999999999
262,1114,2001,0,342.06299999999993,313.13199999999995,313.13199999999995
261,1111,2001,0,338.1060000000001,316.562,316.562
260,1098,2001,0,334.23400000000004,308.236,308.236
259,1099,2001,0,328.66800000000006,305.95399999999995,305.95399999999995
258,1084,2001,0,324.53200000000004,301.78600000000006,301.78600000000006
257,1061,2001,0,324.70200000000006,300.23699999999997,300.23699999999997
256,1055,2001,0,321.34600000000006,305.22599999999994,305.22599999999994
255,1025,2001,0,320.48699999999997,301.40799999999996,301.40799999999996
254,1008,2001,0,314.6120000000001,297.4410000000001,297.4410000000001
253,989,2001,0,316.857,306.114,306.114
252,978,2001,0,314.635,307.21100000000007,307.21100000000007
251,963,2001,0,309.601,305.228,305.228
250,956,2001,0,307.39000000000004,305.8620000000001,305.8620000000001
249,947,2001,0,307.366,312.71000000000004,312.71000000000004
248,930,2001,0,306.467,306.71600000000007,306.71600000000007
247,921,2001,0,309.982,309.65599999999995,309.65599999999995
246,912,2001,0,306.582,318.57199999999995,318.57199999999995
245,911,2001,0,309.962,316.2129999999999,316.2129999999999
244,900,2001,0,303.0439999999999,315.642,315.642
243,884,2001,0,304.103,316.4189999999999,316.4189999999999
242,889,2001,0,300.764,318.952,318.952
241,889,2001,0,299.18699999999995,317.522,317.522
240,844,2001,0,295.437,320.3909999999999,320.3909999999999
239,838,2001,0,302.22900000000004,321.305,321.305
238,824,2001,0,291.438,319.9200000000001,319.9200000000001
237,857,2001,0,293.16499999999996,320.244,320.244
236,833,2001,0,288.148,320.8159999999999,320.8159999999999
235,808,2001,0,292.28000000000003,323.12299999999993,323.12299999999993
234,801,2001,0,289.443,322.657,322.657
233,811,2001,0,292.059,318.60499999999996,318.60499999999996
232,786,2001,0,287.86599999999993,320.4969999999999,320.4969999999999
231,777,2001,0,291.9349999999999,328.261,328.261
230,752,2001,0,292.31199999999995,333.24899999999997,333.24899999999997
229,755,2001,0,293.2360000000001,329.3320000000001,329.3320000000001
228,727,2001,0,290.851,324.613,324.613
227,712,2001,0,294.775,323.18000000000006,323.18000000000006
226,706,2001,0,291.305,326.62,326.62
225,693,2001,0,291.573,325.18800000000005,325.18800000000005
224,694,2001,0,288.6139999999999,321.171,321.171
223,683,2001,0,291.5109999999999,321.7820000000001,321.7820000000001
222,677,2001,0,289.8560000000001,324.516,324.516
221,657,2001,0,297.7770000000001,325.71500000000003,325.71500000000003
220,658,2001,0,291.463,319.1940000000001,319.1940000000001
219,662,2001,0,284.6109999999999,312.1530000000001,312.1530000000001
218,619,2001,0,291.925,320.517,320.517
217,616,2001,0,289.838,313.21500000000015,313.21500000000015
216,1127,2001,0,296.172,322.76700000000005,322.76700000000005
214,1028,2001,0,308.573,319.6280000000001,319.6280000000001
213,985,2001,0,293.9500000000001,299.67099999999994,299.67099999999994
212,979,2001,0,292.74899999999997,293.25300000000004,293.25300000000004
211,971,2001,0,293.55400000000003,295.664,295.664
210,957,2001,0,294.842,290.6590000000001,290.6590000000001
209,928,2001,0,303.819,292.56,292.56
208,920,2001,0,299.30499999999995,285.6759999999999,285.6759999999999
207,932,2001,0,301.2060000000001,283.331,283.331
206,923,2001,0,299.098,281.61,281.61
205,914,2001,0,294.08600000000007,276.2740000000001,276.2740000000001
204,905,2001,0,296.13899999999995,275.2010000000001,275.2010000000001
203,873,2001,0,301.6589999999999,279.912,279.912
202,861,2001,0,302.47800000000007,283.4339999999999,283.4339999999999
201,843,2001,0,307.4069999999999,282.75299999999993,282.75299999999993
200,829,2001,0,303.4549999999999,281.56500000000005,281.56500000000005
199,785,2001,0,306.263,290.5490000000001,290.5490000000001
198,824,2001,0,299.03100000000006,278.747,278.747
197,793,2001,0,298.92099999999994,282.7169999999999,282.7169999999999
196,791,2001,0,297.46399999999994,278.581,278.581
195,788,2001,0,302.295,277.03400000000005,277.03400000000005
194,786,2001,0,290.919,275.47299999999996,275.47299999999996
193,761,2001,0,297.86499999999995,277.82500000000005,277.82500000000005
192,763,2001,0,299.84700000000004,274.55300000000005,274.55300000000005
191,754,2001,0,295.99399999999997,272.612,272.612
190,715,2001,0,297.748,278.12999999999994,278.12999999999994
189,688,2001,0,306.75,284.888,284.888
188,656,2001,0,304.423,286.785,286.785
187,644,2001,0,307.328,287.42399999999986,287.42399999999986
186,1260,2001,0,340.6069999999999,315.7199999999999,315.7199999999999
185,1251,2001,0,327.6719999999999,303.593,303.593
184,1241,2001,0,328.278,305.465,305.465
183,1275,2001,0,317.175,296.75699999999995,296.75699999999995
182,1265,2001,0,317.031,294.351,294.351
181,1244,2001,0,315.19199999999995,295.459,295.459
180,1210,2001,0,315.33500000000004,296.58599999999996,296.58599999999996
179,1172,2001,0,320.76399999999995,299.42400000000004,299.42400000000004
178,1164,2001,0,313.62499999999994,292.51300000000003,292.51300000000003
177,1155,2001,0,314.273,293.073,293.073
176,1144,2001,0,313.3510000000001,295.24699999999996,295.24699999999996
175,1145,2001,0,310.63199999999995,291.52500000000003,291.52500000000003
174,1103,2001,0,309.262,294.671,294.671
173,1108,2001,0,307.3360000000001,294.94100000000003,294.94100000000003
