Slice,Area,file,id_number,TxRed,YFP
163,397,1532,3,265.8380000000001,318.49499999999995
162,439,1532,3,271.42500000000007,310.30800000000005
161,486,1532,3,267.56499999999994,301.2180000000001
160,479,1532,3,278.1760000000001,316.0679999999999
159,461,1532,3,278.76,314.572
158,517,1532,3,286.92400000000004,311.986
157,463,1532,3,301.484,316.384
156,513,1532,3,301.00999999999993,317.7869999999999
155,533,1532,3,301.203,309.032
154,529,1532,3,312.6989999999999,318.91300000000007
153,606,1532,3,298.84,300.03
152,650,1532,3,313.693,305.11800000000005
151,662,1532,3,322.07899999999995,306.6089999999999
150,695,1532,3,323.15,306.0049999999999
149,732,1532,3,306.41799999999995,285.583
148,728,1532,3,302.46899999999994,296.16099999999994
147,728,1532,3,300.724,296.134
146,763,1532,3,293.626,288.843
145,775,1532,3,288.595,288.952
144,765,1532,3,270.52,267.64300000000003
143,755,1532,3,273.58900000000006,270.411
142,717,1532,3,280.15799999999996,273.58199999999994
141,796,1532,3,276.9669999999999,277.38300000000004
140,785,1532,3,278.661,270.26300000000003
139,778,1532,3,284.401,274.463
138,767,1532,3,284.64500000000004,274.3740000000001
137,786,1532,3,289.7500000000001,275.22100000000006
136,743,1532,3,305.0550000000001,283.56399999999996
135,727,1532,3,301.15799999999996,279.3929999999999
134,741,1532,3,302.70599999999996,283.78899999999993
133,694,1532,3,305.7840000000001,277.068
132,714,1532,3,316.463,280.24499999999995
131,730,1532,3,312.595,280.30000000000007
130,711,1532,3,320.912,275.53599999999994
129,698,1532,3,329.609,280.38199999999995
128,601,1532,3,339.04100000000005,291.46599999999995
127,622,1532,3,335.357,286.17600000000004
126,606,1532,3,337.334,290.247
125,652,1532,3,340.82,291.554
124,622,1532,3,345.17300000000006,287.25500000000005
123,610,1532,3,339.83699999999993,286.3210000000001
122,583,1532,3,339.687,286.9839999999999
121,579,1532,3,340.37500000000006,289.1460000000001
120,598,1532,3,329.60600000000005,285.209
119,618,1532,3,334.1569999999999,284.0079999999999
118,599,1532,3,336.675,285.37799999999993
117,615,1532,3,329.3090000000001,285.098
116,682,1532,3,337.03499999999997,289.876
115,674,1532,3,337.401,291.74499999999995
114,625,1532,3,336.165,286.8430000000001
113,581,1532,3,341.895,297.386
112,605,1532,3,352.55300000000005,293.7560000000001
111,592,1532,3,340.305,300.6860000000001
110,672,1532,3,351.704,295.54
109,687,1532,3,346.129,293.886
108,593,1532,3,354.6649999999999,299.07800000000003
107,628,1532,3,354.826,303.1
106,648,1532,3,358.64000000000004,306.5309999999999
105,672,1532,3,348.04400000000004,298.69
104,615,1532,3,358.0599999999999,302.5999999999999
103,626,1532,3,355.70300000000003,305.379
102,593,1532,3,356.18399999999997,306.33199999999994
101,640,1532,3,350.74299999999994,304.118
100,614,1532,3,358.15899999999993,307.837
99,511,1532,3,352.66600000000005,308.557
98,562,1532,3,355.03000000000014,306.5189999999999
97,540,1532,3,359.356,313.242
96,590,1532,3,356.96,312.92999999999995
95,650,1532,3,361.5970000000001,304.55400000000003
94,608,1532,3,354.95300000000003,307.4680000000001
93,598,1532,3,357.3909999999999,310.9599999999999
92,633,1532,3,368.78900000000016,314.1560000000001
91,623,1532,3,365.375,318.136
90,611,1532,3,358.74199999999996,311.081
89,542,1532,3,372.77000000000004,320.0659999999999
88,539,1532,3,369.45199999999994,324.66799999999995
87,575,1532,3,374.46099999999996,323.4510000000001
86,567,1532,3,375.422,322.23699999999997
85,538,1532,3,380.512,322.4069999999999
84,572,1532,3,379.4660000000001,334.64099999999996
83,566,1532,3,380.595,336.12700000000007
82,482,1532,3,386.66200000000003,337.509
81,526,1532,3,384.47,333.712
80,528,1532,3,386.59299999999996,342.9909999999999
79,570,1532,3,388.97200000000004,331.76899999999995
78,568,1532,3,383.50500000000005,333.317
77,574,1532,3,382.27700000000004,335.186
76,525,1532,3,382.53799999999995,330.41800000000006
