Cp_con,YK0085
0.1,1.4609999999999999
1.0,1.304
2.0,1.186
3.0,0.9390000000000001
4.0,0.43
5.0,0.168
6.0,0.057999999999999996
7.0,0.027000000000000003
8.0,0.013000000000000001
9.0,0.006999999999999999
10.0,0.006999999999999999
11.0,0.003
12.0,0.003
13.0,0.004
14.0,0.006
15.0,0.003
20.0,0.002
100.0,0.0
1000.0,0.0
