Date,BL_time,Cp_time
190617,18,0
190823,18,0
191214,17,0
190613,17,0
190724,0,64
190921,0,79
191218,0,19
190808,0,61
191029,0,58
201219,17,0
180726,18,0
180907,20,0
180925,16,0
210129,0,78
181224,35,0
210405,17,54
190107,34,0
210723,17,0
