Cp_con,YK0083,YK0085
0.1,1.463,1.461
1,1.505,1.304
2,,1.186
3,,0.939
4,,0.43
5,,0.168
6,,0.058
7,,0.027
8,,0.013
9,,0.007
10,1.465,0.007
11,,0.003
12,,0.003
13,,0.004
14,,0.006
15,,0.003
20,1.506,0.002
30,1.495,
40,1.535,
50,1.47,
60,1.461,
70,1.507,
80,0.886,
90,0.072,
100,0.006,0
1000,-0.001,0
