Cp_con,F3
0.1,1.488
1,1.35
3,1.079
5,0.251
6,0.092
7,0.032
8,0.015
9,0.008
10,0.009
11,0.001
12,0.006
13,0.001
14,0.004
15,0.003
100,-0.001
1000,0
