Cp_con,YK0083,YK0085
0.1,1.563,1.539
1,1.56,1.385
2,,1.255
3,,1.116
4,,0.755
5,,0.419
6,,0.158
7,,0.053
8,,0.08
9,,0.024
10,1.545,0.022
11,,
12,,
13,,
14,,
15,,0.004
20,1.535,0.003
30,1.546,
40,1.535,
50,1.537,
60,1.571,
70,1.21,
80,0.054,
90,0.018,
100,0.004,0.002
150,0.002,
200,0.002,
1000,0.001,0.001
