No,Index,Frame,Age,Div_Age,Generation_time
,-1,92,1,-15,80
,-1,132,2,-14,84
,-1,174,3,-13,126
,-1,237,4,-12,22
,-1,248,5,-11,86
,-1,291,6,-10,46
,-1,314,7,-9,76
,-1,352,8,-8,60
,-1,382,9,-7,40
,-1,402,10,-6,46
,-1,425,11,-5,108
,-1,479,12,-4,44
,-1,501,13,-3,34
,-1,518,14,-2,46
,-1,541,15,-1,52
,-1,567,16,0,
,0,609,17,,
,1,652,18,0,
,1,695,19,1,86
,1,750,20,2,110
,1,802,21,3,104
,1,839,22,4,74
,1,910,23,5,142
,1,937,24,6,54
,1,971,25,7,68
,1,981,26,8,20
,1,1004,27,9,46
,1,1033,28,10,58
,1,1055,29,11,44
,1,1091,30,12,72
,1,1118,31,13,54
,1,1144,32,14,52
,1,1174,33,15,60
,1,1206,34,16,64
,,,,,
6_1,-1,15,0,-16,128
,-1,79,1,-15,74
,-1,116,2,-14,86
,-1,159,3,-13,44
,-1,181,4,-12,48
,-1,205,5,-11,46
,-1,228,6,-10,58
,-1,257,7,-9,68
,-1,291,8,-8,92
,-1,337,9,-7,118
,-1,396,10,-6,78
,-1,435,11,-5,38
,-1,454,12,-4,82
,-1,495,13,-3,108
,-1,549,14,-2,32
,-1,565,15,-1,24
,-1,577,16,0,
,0,610,17,,
,1,704,18,0,
,1,746,19,1,84
,1,776,20,2,60
,1,826,21,3,100
,1,876,22,4,100
,1,907,23,5,62
,1,950,24,6,86
,1,978,25,7,56
,1,1016,26,8,76
,1,1044,27,9,56
,1,1068,28,10,48
,1,1092,29,11,48
,1,1110,30,12,36
,1,1133,31,13,46
,1,1150,32,14,34
,1,1163,33,15,26
,1,1181,34,16,36
,1,1200,35,17,38
,,,,,
6_2,-1,2,0,-17,76
,-1,40,1,-16,110
,-1,95,2,-15,72
,-1,131,3,-14,82
,-1,172,4,-13,96
,-1,220,5,-12,48
,-1,244,6,-11,60
,-1,274,7,-10,62
,-1,305,8,-9,60
,-1,335,9,-8,46
,-1,358,10,-7,44
,-1,380,11,-6,50
,-1,405,12,-5,74
,-1,442,13,-4,94
,-1,489,14,-3,54
,-1,516,15,-2,92
,-1,562,16,-1,58
,-1,591,17,0,
,1,666,18,0,
,1,686,19,1,40
,1,704,20,2,36
,1,728,21,3,48
,1,748,22,4,40
,1,769,23,5,42
,1,805,24,6,72
,1,828,25,7,46
,1,853,26,8,50
,1,876,27,9,46
,1,909,28,10,66
,1,931,29,11,44
,1,955,30,12,48
,1,983,31,13,56
,1,1018,32,14,70
,1,1038,33,15,40
,1,1063,34,16,50
,1,1089,35,17,52
,1,1121,36,18,64
,1,1146,37,19,50
,1,1168,38,20,44
,1,1198,39,21,60
,,,,,
7_1,-1,39,0,-15,70
,-1,74,1,-14,50
,-1,99,2,-13,56
,-1,127,3,-12,60
,-1,157,4,-11,94
,-1,204,5,-10,84
,-1,246,6,-9,44
,-1,268,7,-8,52
,-1,294,8,-7,56
,-1,322,9,-6,132
,-1,388,10,-5,98
,-1,437,11,-4,74
,-1,474,12,-3,52
,-1,500,13,-2,54
,-1,527,14,-1,62
,-1,558,15,0,
,0,614,16,,
,1,641,17,0,
,1,686,18,1,90
,1,714,19,2,56
,1,744,20,3,60
,1,797,21,4,106
,1,812,22,5,30
,1,831,23,6,38
,1,846,24,7,30
,1,877,25,8,62
,1,904,26,9,54
,1,920,27,10,32
,1,953,28,11,66
,1,980,29,12,54
,1,998,30,13,36
,1,1024,31,14,52
,1,1047,32,15,46
,1,1088,33,16,82
,1,1102,34,17,28
,1,1130,35,18,56
,1,1152,36,19,44
,1,1170,37,20,36
,1,1198,38,21,56
,,,,,
7_2,-1,23,0,-17,54
,-1,50,1,-16,60
,-1,80,2,-15,66
,-1,113,3,-14,64
,-1,145,4,-13,82
,-1,186,5,-12,108
,-1,240,6,-11,66
,-1,273,7,-10,60
,-1,303,8,-9,84
,-1,345,9,-8,64
,-1,377,10,-7,68
,-1,411,11,-6,44
,-1,433,12,-5,62
,-1,464,13,-4,58
,-1,493,14,-3,98
,-1,542,15,-2,60
,-1,572,16,-1,48
,-1,596,17,0,
,1,621,18,0,
,1,665,19,1,88
,1,695,20,2,60
,1,723,21,3,56
,1,757,22,4,68
,1,798,23,5,82
,,,,,
11_1,-1,9,0,-18,62
,-1,40,1,-17,52
,-1,66,2,-16,72
,-1,102,3,-15,72
,-1,138,4,-14,90
,-1,183,5,-13,66
,-1,216,6,-12,66
,-1,249,7,-11,70
,-1,284,8,-10,46
,-1,307,9,-9,48
,-1,331,10,-8,78
,-1,370,11,-7,54
,-1,397,12,-6,106
,-1,450,13,-5,70
,-1,485,14,-4,40
,-1,505,15,-3,68
,-1,539,16,-2,54
,-1,566,17,-1,62
,-1,597,18,0,
,1,646,19,0,
,1,664,20,1,36
,1,693,21,2,58
,1,722,22,3,58
,1,757,23,4,70
,1,802,24,5,90
,1,828,25,6,52
,1,859,26,7,62
,1,891,27,8,64
,1,925,28,9,68
,1,955,29,10,60
,1,985,30,11,60
,1,1025,31,12,80
,1,1101,32,13,152
,1,1130,33,14,58
,1,1161,34,15,62
,,,,,
12_1,-1,27,0,-15,92
,-1,73,1,-14,84
,-1,115,2,-13,84
,-1,157,3,-12,78
,-1,196,4,-11,76
,-1,234,5,-10,62
,-1,265,6,-9,124
,-1,327,7,-8,72
,-1,363,8,-7,80
,-1,403,9,-6,40
,-1,423,10,-5,80
,-1,463,11,-4,40
,-1,483,12,-3,40
,-1,503,13,-2,52
,-1,529,14,-1,40
,-1,549,15,0,
,0,612,16,,
,1,662,17,0,
,1,684,18,1,44
,1,717,19,2,66
,1,775,20,3,116
,1,807,21,4,64
,1,842,22,5,70
,1,876,23,6,68
,1,907,24,7,62
,1,936,25,8,58
,1,974,26,9,76
