No,Index,Frame,Age,Div_Age,Generation_time
,1,777,18,3,60
,1,820,19,4,86
,1,868,20,5,96
,1,904,21,6,72
,,,,,
7_3,-1,21,0,-7,74
,-1,58,1,-6,68
,-1,92,2,-5,106
,-1,145,3,-4,66
,-1,178,4,-3,76
,-1,216,5,-2,128
,-1,280,6,-1,166
,-1,363,7,0,
,0,605,8,0,
,1,643,9,0,
,1,671,10,1,56
,1,787,11,2,232
,1,825,12,3,76
,1,852,13,4,54
,1,893,14,5,82
,1,935,15,6,84
,1,983,16,7,96
,1,1062,17,8,158
,1,1123,18,9,122
,1,1158,19,10,70
,1,1195,20,11,74
,1,1243,21,12,96
,1,1279,22,13,72
,,,,,
7_4,-1,15,0,-15,120
,-1,75,1,-14,90
,-1,120,2,-13,68
,-1,154,3,-12,60
,-1,184,4,-11,68
,-1,218,5,-10,66
,-1,251,6,-9,82
,-1,292,7,-8,54
,-1,319,8,-7,68
,-1,353,9,-6,76
,-1,391,10,-5,72
,-1,427,11,-4,118
,-1,486,12,-3,80
,-1,526,13,-2,58
,-1,555,14,-1,70
,-1,590,15,0,
,1,652,16,0,
,1,701,17,1,98
,1,778,18,2,154
,1,825,19,3,94
,1,853,20,4,56
,1,883,21,5,60
,1,919,22,6,72
,1,958,23,7,78
,1,987,24,8,58
,1,1048,25,9,122
,1,1141,26,10,186
,1,1181,27,11,80
,1,1227,28,12,92
,1,1281,29,13,108
,,,,,
8_1,-1,3,0,-17,54
,-1,30,1,-16,72
,-1,66,2,-15,94
,-1,113,3,-14,78
,-1,152,4,-13,64
,-1,184,5,-12,70
,-1,219,6,-11,86
,-1,262,7,-10,64
,-1,294,8,-9,72
,-1,330,9,-8,50
,-1,355,10,-7,40
,-1,375,11,-6,74
,-1,412,12,-5,62
,-1,443,13,-4,58
,-1,472,14,-3,86
,-1,515,15,-2,80
,-1,555,16,-1,64
,-1,587,17,0,
,1,616,18,0,
,1,659,19,1,86
,1,708,20,2,98
,1,755,21,3,94
,1,788,22,4,66
,1,825,23,5,74
,1,895,24,6,140
,1,939,25,7,88
,1,992,26,8,106
,1,1068,27,9,152
,1,1128,28,10,120
,1,1143,29,11,30
,1,1168,30,12,50
,1,1200,31,13,64
,1,1241,32,14,82
,,,,,
8_2,-1,81,0,-13,104
,-1,133,1,-12,58
,-1,162,2,-11,44
,-1,184,3,-10,92
,-1,230,4,-9,38
,-1,249,5,-8,60
,-1,279,6,-7,82
,-1,320,7,-6,82
,-1,361,8,-5,118
,-1,420,9,-4,92
,-1,466,10,-3,66
,-1,499,11,-2,54
,-1,526,12,-1,88
,-1,570,13,0,
,1,627,14,0,
,1,683,15,1,112
,1,765,16,2,164
,1,818,17,3,106
,1,874,18,4,112
,1,921,19,5,94
,1,951,20,6,60
,1,1004,21,7,106
,1,1100,22,8,192
,1,1176,23,9,152
,1,1230,24,10,108
,1,1284,25,11,108
,,,,,
8_3,-1,42,0,-12,80
,-1,82,1,-11,66
,-1,115,2,-10,112
,-1,171,3,-9,46
,-1,194,4,-8,80
,-1,234,5,-7,110
,-1,289,6,-6,98
,-1,338,7,-5,78
,-1,377,8,-4,70
,-1,412,9,-3,144
,-1,484,10,-2,100
,-1,534,11,-1,132
,-1,600,12,0,
,1,683,13,0,
,1,716,14,1,66
,1,740,15,2,48
,1,770,16,3,60
,1,811,17,4,82
,1,840,18,5,58
,1,876,19,6,72
,1,932,20,7,112
,1,962,21,8,60
,1,1000,22,9,76
,1,1055,23,10,110
,1,1087,24,11,64
,1,1113,25,12,52
,1,1145,26,13,64
,,,,,
9_1,-1,16,0,-14,72
,-1,52,1,-13,64
,-1,84,2,-12,72
,-1,120,3,-11,102
,-1,171,4,-10,46
,-1,194,5,-9,72
,-1,230,6,-8,204
,-1,332,7,-7,80
,-1,372,8,-6,46
,-1,395,9,-5,58
,-1,424,10,-4,66
,-1,457,11,-3,84
,-1,499,12,-2,68
,-1,533,13,-1,126
,-1,596,14,0,
,1,656,15,0,
,1,760,16,1,208
,1,794,17,2,68
,1,822,18,3,56
,1,848,19,4,52
,1,890,20,5,84
,1,943,21,6,106
,1,1012,22,7,138
,1,1050,23,8,76
,1,1120,24,9,140
,1,1152,25,10,64
,1,1183,26,11,62
,1,1229,27,12,92
,1,1263,28,13,68
,,,,,
9_2,-1,4,0,-13,74
,-1,41,1,-12,80
,-1,81,2,-11,88
,-1,125,3,-10,104
,-1,177,4,-9,108
,-1,231,5,-8,162
,-1,312,6,-7,128
,-1,376,7,-6,48
,-1,400,8,-5,80
,-1,440,9,-4,72
,-1,476,10,-3,64
,-1,508,11,-2,74
,-1,545,12,-1,66
,-1,578,13,0,
,0,613,14,0,
,1,665,15,0,
,1,714,16,1,98
,1,741,17,2,54
,1,769,18,3,56
,1,808,19,4,78
,1,872,20,5,128
,1,905,21,6,66
,1,939,22,7,68
,1,968,23,8,58
,1,998,24,9,60
,1,1038,25,10,80
,1,1072,26,11,68
,,,,,
10_1,-1,18,0,-14,86
,-1,61,1,-13,54
,-1,88,2,-12,100
,-1,138,3,-11,94
,-1,185,4,-10,80
,-1,225,5,-9,60
,-1,255,6,-8,56
,-1,283,7,-7,100
,-1,333,8,-6,114
,-1,390,9,-5,92
,-1,436,10,-4,76
,-1,474,11,-3,34
,-1,491,12,-2,72
,-1,527,13,-1,68
,-1,561,14,0,
,0,604,15,0,
,1,637,16,0,
,1,683,17,1,92
,1,726,18,2,86
,1,811,19,3,170
,1,831,20,4,40
,1,868,21,5,74
,1,894,22,6,52
,1,983,23,7,178
,1,1029,24,8,92
,1,1069,25,9,80
,,,,,
11_1,-1,28,0,-12,188
,-1,122,1,-11,108
,-1,176,2,-10,112
,-1,232,3,-9,90
,-1,277,4,-8,86
,-1,320,5,-7,64
,-1,352,6,-6,74
,-1,389,7,-5,58
,-1,418,8,-4,62
,-1,449,9,-3,98
,-1,498,10,-2,110
,-1,553,11,-1,94
,-1,600,12,0,
,1,651,13,0,
,1,692,14,1,82
,1,727,15,2,70
,1,766,16,3,78
,1,799,17,4,66
,1,870,18,5,142
,1,910,19,6,80
,1,1001,20,7,182
,1,1100,21,8,198
,1,1134,22,9,68
,1,1158,23,10,48
,1,1187,24,11,58
,1,1221,25,12,68
,1,1257,26,13,72
,,,,,
11_2,-1,37,0,-12,210
,-1,142,1,-11,90
,-1,187,2,-10,76
,-1,225,3,-9,54
,-1,252,4,-8,68
,-1,286,5,-7,118
,-1,345,6,-6,82
,-1,386,7,-5,58
,-1,415,8,-4,58
,-1,444,9,-3,110
,-1,499,10,-2,108
,-1,553,11,-1,84
,-1,595,12,0,
,1,647,13,0,
,1,709,14,1,124
,1,781,15,2,144
,1,845,16,3,128
,1,881,17,4,72
,1,916,18,5,70
,1,964,19,6,96
,1,1018,20,7,108
,1,1039,21,8,42
,1,1067,22,9,56
,1,1133,23,10,132
,1,1192,24,11,118
,1,1249,25,12,114
,,,,,
11_3,-1,68,0,-11,56
,-1,96,1,-10,94
,-1,143,2,-9,84
,-1,185,3,-8,70
,-1,220,4,-7,62
,-1,251,5,-6,126
,-1,314,6,-5,66
,-1,347,7,-4,126
,-1,410,8,-3,64
,-1,442,9,-2,56
,-1,470,10,-1,76
,-1,508,11,0,
,1,618,12,0,
,1,687,13,1,138
,1,734,14,2,94
,1,781,15,3,94
,1,829,16,4,96
,,,,,
12_1,-1,13,0,-11,162
,-1,94,1,-10,152
,-1,170,2,-9,54
,-1,197,3,-8,54
,-1,224,4,-7,78
,-1,263,5,-6,92
,-1,309,6,-5,98
,-1,358,7,-4,140
,-1,428,8,-3,114
,-1,485,9,-2,78
,-1,524,10,-1,128
,-1,588,11,0,
,1,626,12,0,
,1,700,13,1,148
,1,750,14,2,100
,1,792,15,3,84
,,,,,
12_2,-1,24,0,-13,84
,-1,66,1,-12,114
,-1,123,2,-11,108
,-1,177,3,-10,88
,-1,221,4,-9,118
,-1,280,5,-8,50
,-1,305,6,-7,68
,-1,339,7,-6,60
,-1,369,8,-5,46
,-1,392,9,-4,80
,-1,432,10,-3,108
,-1,486,11,-2,92
,-1,532,12,-1,110
,-1,587,13,0,
,1,645,14,0,
,1,680,15,1,70
,1,722,16,2,84
,1,762,17,3,80
,1,786,18,4,48
,1,825,19,5,78
,1,889,20,6,128
,1,986,21,7,194
,1,1018,22,8,64
,1,1061,23,9,86
,1,1096,24,10,70
,1,1140,25,11,88
,1,1190,26,12,100
,1,1249,27,13,118
,1,1270,28,14,42
,1,1299,29,15,58
,,,,,
13_1,-1,35,0,-14,102
,-1,86,,-13,58
,-1,115,1,-12,70
,-1,150,2,-11,72
,-1,186,3,-10,108
,-1,240,4,-9,68
,-1,274,5,-8,52
