Cp_con,YK0136
0.1,1.479
1.0,1.452
10.0,1.547
50.0,1.4069999999999998
80.0,1.383
100.0,1.256
120.0,0.045
150.0,0.005
180.0,0.001
200.0,0.001
1000.0,0.0
