Slice,Area,file,id_number,TxRed
190,621,0222,2,41.32800000000003
189,540,0222,2,42.79400000000004
188,893,0222,2,44.388000000000034
187,758,0222,2,48.45100000000002
186,702,0222,2,50.351999999999975
185,646,0222,2,52.82299999999998
184,579,0222,2,54.827
183,560,0222,2,47.87100000000004
182,910,0222,2,49.06999999999999
181,839,0222,2,48.72800000000001
180,791,0222,2,48.118999999999915
179,804,0222,2,45.55099999999999
178,753,0222,2,46.93000000000001
177,681,0222,2,48.88900000000001
176,690,0222,2,48.077000000000055
175,701,0222,2,47.349000000000046
174,667,0222,2,49.58699999999993
173,678,0222,2,48.48799999999994
172,647,0222,2,49.13499999999999
171,639,0222,2,50.361999999999966
170,639,0222,2,49.77199999999999
169,593,0222,2,51.09899999999999
168,571,0222,2,51.78600000000006
167,563,0222,2,50.031000000000006
166,569,0222,2,45.69300000000004
165,549,0222,2,44.343999999999994
164,484,0222,2,42.69299999999993
163,994,0222,2,47.972999999999956
162,936,0222,2,44.24399999999997
161,900,0222,2,43.27499999999998
160,858,0222,2,42.28299999999996
159,735,0222,2,47.01999999999998
158,1079,0222,2,51.399
157,961,0222,2,53.339999999999975
156,901,0222,2,51.315000000000055
155,858,0222,2,54.127000000000066
154,885,0222,2,54.357000000000085
153,835,0222,2,53.317999999999984
152,815,0222,2,54.66699999999997
151,800,0222,2,53.839
150,787,0222,2,54.49400000000003
149,733,0222,2,56.327000000000055
148,725,0222,2,56.274
147,693,0222,2,59.886999999999944
146,674,0222,2,62.896000000000015
145,682,0222,2,64.07600000000002
144,620,0222,2,66.031
143,661,0222,2,66.09400000000005
142,644,0222,2,69.27300000000008
141,625,0222,2,67.43300000000005
140,616,0222,2,66.14599999999996
139,598,0222,2,66.01500000000004
138,625,0222,2,64.59300000000002
137,585,0222,2,61.643000000000086
136,617,0222,2,57.4319999999999
135,578,0222,2,61.72399999999993
134,544,0222,2,59.356999999999914
133,530,0222,2,53.31499999999994
132,543,0222,2,55.261000000000024
131,525,0222,2,48.61900000000003
130,484,0222,2,47.652999999999906
129,469,0222,2,44.58800000000002
128,386,0222,2,44.9729999999999
127,682,0222,2,44.62500000000006
