No,Index,Frame,Age,Div_Age,Generation_time
,1,901,26,8,98
,1,935,27,9,68
,1,966,28,10,62
,1,988,29,11,44
,1,1009,30,12,42
,1,1030,31,13,42
,1,1063,32,14,66
,1,1093,33,15,60
,1,1123,34,16,60
,,,,,
2_2,-1,4,0,-18,92
,-1,50,1,-17,38
,-1,69,2,-16,70
,-1,104,3,-15,46
,-1,127,4,-14,88
,-1,171,5,-13,82
,-1,212,6,-12,38
,-1,231,7,-11,86
,-1,274,8,-10,34
,-1,291,9,-9,48
,-1,315,10,-8,58
,-1,344,11,-7,64
,-1,376,12,-6,72
,-1,412,13,-5,58
,-1,441,14,-4,48
,-1,465,15,-3,90
,-1,510,16,-2,28
,-1,524,17,-1,148
,-1,598,18,0,
,1,639,19,0,
,1,657,20,1,36
,1,679,21,2,44
,1,702,22,3,46
,1,731,23,4,58
,1,758,24,5,54
,1,792,25,6,68
,1,822,26,7,60
,1,851,27,8,58
,1,901,28,9,100
,1,936,29,10,70
,1,963,30,11,54
,1,976,31,12,26
,1,992,32,13,32
,1,1023,33,14,62
,1,1053,34,15,60
,1,1090,35,16,74
,,,,,
3_1,-1,33,0,-16,210
,-1,138,1,-15,58
,-1,167,2,-14,78
,-1,206,3,-13,54
,-1,233,4,-12,150
,-1,308,5,-11,46
,-1,331,6,-10,42
,-1,352,7,-9,40
,-1,372,8,-8,50
,-1,397,9,-7,46
,-1,420,10,-6,66
,-1,453,11,-5,38
,-1,472,12,-4,44
,-1,494,13,-3,48
,-1,518,14,-2,68
,-1,552,15,-1,58
,-1,581,16,0,
,0,614,17,,
,1,656,18,0,
,1,679,19,1,46
,1,710,20,2,62
,1,767,21,3,114
,1,797,22,4,60
,1,831,23,5,68
,1,871,24,6,80
,1,901,25,7,60
,1,951,26,8,100
,1,986,27,9,70
,1,1014,28,10,56
,1,1074,29,11,120
,1,1094,30,12,40
,1,1122,31,13,56
,1,1153,32,14,62
,1,1198,33,15,90
,,,,,
3_2,-1,25,0,-17,48
,-1,49,1,-16,38
,-1,68,2,-15,76
,-1,106,3,-14,134
,-1,173,4,-13,58
,-1,202,5,-12,38
,-1,221,6,-11,54
,-1,248,7,-10,44
,-1,270,8,-9,52
,-1,296,9,-8,42
,-1,317,10,-7,58
,-1,346,11,-6,58
,-1,375,12,-5,58
,-1,404,13,-4,54
,-1,431,14,-3,64
,-1,463,15,-2,90
,-1,508,16,-1,82
,-1,549,17,0,
,1,643,18,0,
,1,672,19,1,58
,1,712,20,2,80
,1,749,21,3,74
,1,785,22,4,72
,1,807,23,5,44
,1,833,24,6,52
,1,847,25,7,28
,1,868,26,8,42
,1,893,27,9,50
,1,931,28,10,76
,1,958,29,11,54
,1,998,30,12,80
,1,1060,31,13,124
,1,1090,32,14,60
,1,1124,33,15,68
,1,1165,34,16,82
,1,1193,35,17,56
,,,,,
3_3,-1,19,0,-18,90
,-1,64,1,-17,132
,-1,130,2,-16,100
,-1,180,3,-15,66
,-1,213,4,-14,44
,-1,235,5,-13,50
,-1,260,6,-12,70
,-1,295,7,-11,60
,-1,325,8,-10,60
,-1,355,9,-9,66
,-1,388,10,-8,104
