No,Index,Frame,Age,Div_Age,Generation_time
,-1,209,3,-9,56
,-1,237,4,-8,94
,-1,284,5,-7,90
,-1,329,6,-6,62
,-1,360,7,-5,58
,-1,389,8,-4,90
,-1,434,9,-3,134
,-1,501,10,-2,76
,-1,539,11,-1,80
,-1,579,12,0,
,0,614,13,0,
,1,655,14,0,
,1,678,15,1,46
,1,727,16,2,98
,1,761,17,3,68
,1,802,18,4,82
,1,873,19,5,142
,1,912,20,6,78
,1,948,21,7,72
,1,1009,22,8,122
,1,1042,23,9,66
,1,1076,24,10,68
,1,1106,25,11,60
,1,1140,26,12,68
,1,1184,27,13,88
,,,,,
10_3,-1,29,0,-13,78
,-1,68,1,-12,64
,-1,100,2,-11,76
,-1,138,3,-10,72
,-1,174,4,-9,78
,-1,213,5,-8,110
,-1,268,6,-7,90
,-1,313,7,-6,92
,-1,359,8,-5,70
,-1,394,9,-4,64
,-1,426,10,-3,84
,-1,468,11,-2,100
,-1,518,12,-1,116
,-1,576,13,0,
,1,641,14,0,
,1,720,15,1,158
,1,762,16,2,84
,1,793,17,3,62
,1,818,18,4,50
,1,868,19,5,100
,1,905,20,6,74
,1,960,21,7,110
,1,1017,22,8,114
,1,1049,23,9,64
,1,1079,24,10,60
,,,,,
11_1,-1,13,0,-12,80
,-1,53,1,-11,134
,-1,120,2,-10,92
,-1,166,3,-9,74
,-1,203,4,-8,136
,-1,271,5,-7,136
,-1,339,6,-6,72
,-1,375,7,-5,36
,-1,393,8,-4,80
,-1,433,9,-3,118
,-1,492,10,-2,96
,-1,540,11,-1,78
,-1,579,12,0,
,1,646,13,0,
,1,708,14,1,124
,1,745,15,2,74
,1,778,16,3,66
,1,813,17,4,70
,1,843,18,5,60
,1,883,19,6,80
,1,936,20,7,106
,,,,,
14_1,-1,12,0,-14,74
,-1,49,1,-13,88
,-1,93,2,-12,72
,-1,129,3,-11,82
,-1,170,4,-10,110
,-1,225,5,-9,84
,-1,267,6,-8,104
,-1,319,7,-7,38
,-1,338,8,-6,62
,-1,369,9,-5,60
,-1,399,10,-4,70
