 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_YFP:0309-0315-0094:initial_folder_50_0308,1054,533.055,95.284,317.792,309,1,2,156.365
2,ori_YFP:0308-0314-0094:initial_folder_50_0307,950,545.033,95.095,317.599,308,0,3,155.703
3,ori_YFP:0307-0314-0093:initial_folder_50_0306,1004,542.149,95.088,316.637,307,0,4,154.365
4,ori_YFP:0306-0317-0094:initial_folder_50_0305,945,537.598,95.026,320.444,306,0,5,154.936
5,ori_YFP:0305-0315-0093:initial_folder_50_0304,951,542.869,95.003,318.588,305,0,6,152.988
6,ori_YFP:0304-0313-0093:initial_folder_50_0303,1082,530.546,95.041,316.170,304,0,7,154.827
7,ori_YFP:0303-0313-0093:initial_folder_50_0302,1085,534.302,94.884,317.396,303,0,8,156.341
8,ori_YFP:0302-0315-0093:initial_folder_50_0301,1028,542.765,94.780,319.063,302,0,9,154.397
9,ori_YFP:0301-0315-0093:initial_folder_50_0300,984,551.853,94.807,317.836,301,0,10,157.117
10,ori_YFP:0300-0319-0093:initial_folder_50_0299,842,550.112,94.231,324.447,300,0,11,157.648
11,ori_YFP:0299-0317-0094:initial_folder_50_0298,986,536.035,95.093,319.589,299,0,12,157.002
12,ori_YFP:0298-0315-0093:initial_folder_50_0297,978,549.586,94.696,318.314,298,0,13,157.317
13,ori_YFP:0297-0308-0093:initial_folder_50_0296,897,545.648,95.117,312.837,297,0,14,156.451
14,ori_YFP:0296-0316-0093:initial_folder_50_0295,964,551.220,95.101,319.162,296,0,15,156.959
15,ori_YFP:0295-0316-0094:initial_folder_50_0294,970,551.849,94.781,319.767,295,0,16,156.590
16,ori_YFP:0294-0317-0094:initial_folder_50_0293,1032,544.804,95.169,318.934,294,0,17,155.013
17,ori_YFP:0293-0314-0093:initial_folder_50_0292,919,557.334,94.598,320.333,293,0,18,157.375
18,ori_YFP:0292-0317-0094:initial_folder_50_0291,1032,538.824,95.279,320.261,292,0,19,156.109
19,ori_YFP:0291-0314-0090:initial_folder_50_0290,1072,554.549,94.608,316.779,291,0,20,155.467
20,ori_YFP:0290-0313-0092:initial_folder_50_0289,1067,550.570,95.076,316.933,290,0,21,154.537
21,ori_YFP:0289-0310-0094:initial_folder_50_0288,963,569.514,95.041,313.395,289,0,22,153.753
22,ori_YFP:0288-0310-0094:initial_folder_50_0287,987,569.637,94.946,314.259,288,0,23,155.747
23,ori_YFP:0287-0310-0094:initial_folder_50_0286,1019,556.027,95.125,314.114,287,0,24,154.736
24,ori_YFP:0286-0310-0094:initial_folder_50_0285,1003,571.859,94.980,315.793,286,0,25,157.192
25,ori_YFP:0285-0314-0094:initial_folder_50_0284,990,523.223,94.832,319.405,285,0,26,153.748
26,ori_YFP:0284-0317-0094:initial_folder_50_0283,946,523.674,94.865,321.605,284,0,27,154.603
27,ori_YFP:0283-0316-0093:initial_folder_50_0282,952,526.498,94.621,321.690,283,0,28,155.777
28,ori_YFP:0282-0315-0094:initial_folder_50_0281,996,524.908,94.826,319.559,282,0,29,153.894
29,ori_YFP:0281-0315-0094:initial_folder_50_0280,995,536.036,94.794,317.851,281,0,30,154.829
30,ori_YFP:0280-0314-0094:initial_folder_50_0279,991,530.462,94.875,320.382,280,0,31,156.148
31,ori_YFP:0279-0316-0093:initial_folder_50_0278,1000,530.558,94.691,319.400,279,0,32,155.781
32,ori_YFP:0278-0315-0094:initial_folder_50_0277,982,538.144,94.832,319.237,278,0,33,153.954
33,ori_YFP:0277-0315-0093:initial_folder_50_0276,1027,527.722,94.855,318.057,277,0,34,152.841
34,ori_YFP:0276-0314-0094:initial_folder_50_0275,1041,534.171,94.708,317.202,276,0,35,155.613
35,ori_YFP:0275-0315-0094:initial_folder_50_0274,1018,533.976,94.994,318.251,275,0,36,154.822
36,ori_YFP:0274-0315-0094:initial_folder_50_0273,1030,537.395,94.747,317.580,274,0,37,156.334
37,ori_YFP:0273-0316-0094:initial_folder_50_0272,1028,538.734,94.574,318.471,273,0,38,155.024
38,ori_YFP:0272-0317-0094:initial_folder_50_0271,1008,537.408,94.777,319.743,272,0,39,155.040
39,ori_YFP:0271-0316-0094:initial_folder_50_0270,1056,544.129,94.891,318.262,271,0,40,157.277
40,ori_YFP:0270-0318-0094:initial_folder_50_0269,983,548.010,94.760,322.171,270,0,41,157.303
41,ori_YFP:0269-0315-0094:initial_folder_50_0268,1045,550.965,95.061,317.799,269,0,42,156.134
