No ,Cell,Dividing,MeanTxRed,Time
,5,0,2.552,20
,6,0,2.78,20
,7,0,-1.218,20
28,1,0,2.227,20
,2,0,1.866,20
,3,0,2.036,20
,4,0,1.554,20
,5,0,1.218,20
29,1,0,2.343,20
,2,0,3.545,20
,3,0,4.533,20
30,1,0,1.84,20
,2,0,-2.304,20
,3,0,1.434,20
31,1,0,-0.267,20
,2,0,1.008,20
,3,0,3.751,20
,4,0,0.627,20
32,1,0,-0.89,20
,2,0,0.778,20
,3,0,2.809,20
,4,0,0.17,20
,5,0,-0.036,20
,6,0,0.932,20
33,1,0,2.629,20
,2,0,4.022,20
,3,0,3.075,20
,4,0,1.34,20
34,1,0,3.692,20
,2,0,2.533,20
,3,0,3.099,20
,4,0,2.442,20
35,1,0,0.889,20
,2,0,1.153,20
,3,0,4.201,20
,4,0,4.802,20
0,1,0,2.067,20
,2,0,2.039,20
,3,0,1.507,20
1,1,0,1.834,20
,2,0,0.975,20
,3,0,2.229,20
2,1,0,1.679,20
,2,0,1.097,20
,3,0,-2.167,20
4,1,0,-1.157,20
5,1,0,-1.29,20
,2,0,2.729,20
6,1,0,0.772,20
7,1,0,-1.074,20
,2,0,1.45,20
,3,0,2.658,20
8,1,0,0.872,20
,2,0,0.711,20
,3,0,2.122,20
10,1,0,2.555,20
,2,0,-1.652,20
,3,0,1.753,20
,4,0,0.5,20
11,1,0,-1.145,20
12,1,0,1.159,20
,2,0,2.984,20
13,1,0,2.142,20
,2,0,1.926,20
,3,0,2.056,20
14,1,0,2.475,20
,2,0,2.619,20
,3,0,1.463,20
,4,0,0.024,20
,5,0,-0.493,20
15,1,0,1.463,20
16,1,0,1.729,20
,2,0,1.545,20
,3,0,-0.379,20
,4,0,2.324,20
,5,0,3.187,20
,6,0,1.28,20
19,1,0,-2.108,20
,2,0,1.186,20
20,1,0,-0.792,20
22,1,0,1.127,20
,2,0,0.924,20
,3,0,-0.567,20
23,1,0,1.96,20
24,1,0,2.165,20
,2,0,1.171,20
,3,0,-0.629,20
25,1,0,-0.869,20
,2,0,2.339,20
,3,0,1.784,20
26,1,0,-0.586,20
,2,0,0.087,20
,3,0,1.34,20
27,1,0,-0.893,20
,2,0,0.81,20
,3,0,0.505,20
28,1,0,1.975,20
,2,0,1.02,20
29,1,0,0.751,20
,2,0,1.416,20
,3,0,1.051,20
30,1,0,1.049,20
31,1,0,2.059,20
,2,0,2.043,20
32,1,0,1.834,20
,2,0,1.072,20
33,1,0,1.28,20
,2,0,1.936,20
,3,0,-0.644,20
,4,0,-1.78,20
34,1,0,1.057,20
35,1,0,1.77,20
,2,0,-0.147,20
