No,Dividing,MeanTxRed,Number of division,Time
1,0,0.371,10,10
2,0,-0.422,10,10
3,0,-0.123,10,10
4,0,-2.87,12,10
5,0,1.362,5,10
6,0,-0.989,11,10
7,0,-1.014,9,10
8,0,4.881,11,10
9,0,4.086,3,10
10,0,1.11,9,10
11,0,1.771,11,10
12,0,1.57,9,10
13,0,1.5,8,10
14,0,2.945,9,10
15,0,-1.429,11,10
16,0,0.767,8,10
17,0,2.988,8,10
18,0,0.208,10,10
19,0,3.827,10,10
20,0,-0.083,9,10
21,0,-0.541,10,10
22,0,1.205,10,10
23,0,2.615,11,10
24,0,1.055,8,10
25,0,0.962,10,10
26,0,0.121,9,10
27,0,-1.459,9,10
28,0,1.303,9,10
29,0,-2.457,9,10
30,0,-0.356,8,10
31,0,0.426,10,10
32,0,2.077,9,10
33,0,-3.093,9,10
34,0,-1.343,10,10
35,0,0.393,8,10
36,0,0.086,9,10
37,0,0.117,10,10
38,0,2.281,6,10
39,0,-1.967,9,10
40,0,-1.346,8,10
41,0,3.661,7,10
42,0,2.991,11,10
43,0,-0.267,10,10
44,0,-1.096,8,10
45,0,1.554,10,10
46,0,-0.047,6,10
47,0,1.109,9,10
48,0,-0.335,10,10
49,0,-1.796,10,10
50,0,-1.785,10,10
51,0,0.443,10,10
52,0,2.648,9,10
53,0,-1.753,10,10
54,0,-1.179,12,10
55,0,1.14,9,10
56,0,2.286,7,10
57,0,1.365,10,10
58,0,1.22,10,10
59,0,1.116,9,10
60,0,1.19,9,10
61,0,0.527,9,10
62,0,3.062,9,10
63,0,1.368,8,10
64,0,-0.471,8,10
65,0,0.417,12,10
66,0,-0.926,8,10
67,0,2.215,9,10
68,0,-1.845,11,10
69,0,-0.708,8,10
70,0,1.678,10,10
71,0,3.577,11,10
72,0,0.053,9,10
73,0,1.051,9,10
74,0,-0.376,8,10
75,0,-0.007,11,10
76,0,1.657,7,10
77,0,2.008,9,10
78,0,-0.708,7,10
79,0,0.134,7,10
80,0,-0.7,10,10
81,0,2.917,10,10
82,0,1.563,9,10
83,0,0.127,9,10
84,0,1.947,8,10
85,0,2.18,12,10
86,0,1.905,10,10
87,0,0.655,10,10
88,0,0.365,9,10
89,0,0.126,10,10
90,0,1.636,3,10
91,0,-0.229,9,10
92,0,4.251,8,10
93,0,1.63,10,10
94,0,4.59,9,10
95,0,-0.098,10,10
96,0,1.265,10,10
97,0,2.371,10,10
98,0,1.479,6,10
99,0,-2.879,9,10
100,0,0.063,8,10
101,0,3.19,9,10
102,0,4.776,5,10
103,0,1.215,10,10
104,0,-1.492,10,10
105,0,-0.128,11,10
106,0,0.689,10,10
107,0,2.539,10,10
108,0,0.58,10,10
109,0,0.278,10,10
110,0,0.485,9,10
111,0,1.47,10,10
112,0,-2.197,11,10
113,0,2.45,10,10
114,0,1.359,6,10
115,0,0.6,6,10
116,0,0.952,9,10
117,0,1.422,9,10
118,0,1.416,7,10
119,0,0.096,8,10
120,0,-0.966,6,10
121,0,0.847,10,10
122,0,0.862,6,10
123,0,2.739,8,10
124,0,0.351,5,10
125,0,0.721,9,10
126,0,6.432,10,10
127,0,2.188,8,10
128,0,1.531,8,10
129,0,0.348,10,10
130,0,1.977,9,10
131,0,1.857,7,10
132,0,-0.319,7,10
133,0,-2.209,10,10
134,0,1.229,8,10
135,0,1.424,9,10
136,0,0.484,7,10
137,0,-1.893,10,10
138,0,5.729,2,10
139,0,0.63,9,10
140,0,0.907,5,10
141,0,1.208,8,10
142,0,-0.581,8,10
143,0,-2.12,7,10
144,0,-1.454,7,10
145,0,0.397,9,10
146,0,0.933,8,10
147,0,1.65,8,10
148,0,0.761,6,10
149,0,0.466,8,10
150,0,2.951,11,10
151,0,2.918,8,10
152,0,1.675,8,10
153,0,4.256,8,10
154,0,-0.64,10,10
155,0,0.624,8,10
156,0,1.019,12,10
157,0,-2.253,10,10
158,0,1.265,7,10
159,0,1.167,10,10
160,0,2.269,9,10
161,0,-1.137,8,10
162,0,3.065,9,10
163,0,2.211,7,10
164,0,-1.171,9,10
165,0,-1.108,9,10
166,0,0.607,10,10
167,0,-0.281,7,10
168,0,3.479,8,10
169,0,2.422,8,10
170,0,3.877,9,10
171,0,2.713,9,10
172,0,-0.175,8,10
173,0,2.309,7,10
174,0,0.184,10,10
175,0,-0.832,9,10
176,0,0.451,8,10
177,0,-0.613,9,10
178,0,1.902,8,10
179,0,-2.255,9,10
180,0,0.652,9,10
181,0,0.102,9,10
182,0,0.012,5,10
183,0,1.219,6,10
184,0,-0.93,9,10
185,0,0.824,9,10
186,0,0.438,12,10
187,0,0.514,10,10
