No ,Cell,Dividing,MeanTxRed,Number of division,Time
3,1,1,24.268,3,3
4,1,1,9.603,3,3
6,1,1,20.371,2,3
9,1,0,15.01,2,3
10,1,1,28.534,2,3
,2,1,12.414,3,3
,3,1,40.05,2,3
11,1,0,13.997,3,3
12,1,0,17.947,2,3
13,1,1,17.179,3,3
18,1,0,17.057,2,3
19,1,1,12.925,3,3
22,1,0,13.34,2,3
1,1,1,12.075,3,3
3,1,0,6.749,4,3
4,1,0,36.439,1,3
,2,1,13.767,3,3
5,1,0,35.885,2,3
,2,1,10.168,3,3
,3,1,11.464,1,3
6,1,1,14.329,3,3
7,1,1,22.107,3,3
,2,1,11.823,3,3
,3,1,24.093,2,3
,4,1,9.726,3,3
8,1,1,6.808,4,3
,2,0,7.33,3,3
,3,1,11.043,3,3
11,1,0,36.937,2,3
,2,0,11.916,3,3
12,1,1,36.435,2,3
,2,1,24.623,3,3
13,1,0,20.289,3,3
,2,0,12.118,3,3
,3,1,12.185,4,3
14,1,0,24.899,3,3
,2,0,24.528,3,3
,3,1,22.151,3,3
15,1,0,17.665,1,3
,2,0,6.497,3,3
,3,0,56.839,3,3
,4,1,13.129,3,3
,5,0,5.075,2,3
16,1,1,19.752,4,3
,2,0,37.576,1,3
,3,0,17.682,2,3
20,1,1,9.589,2,3
,2,0,12.946,3,3
,3,0,22.949,4,3
21,1,1,9.567,2,3
,2,1,4.49,3,3
,3,1,12.025,2,3
22,1,0,3.26,2,3
,2,0,12.678,3,3
,3,1,47.017,1,3
,4,1,15.725,3,3
,5,1,17.465,3,3
23,1,1,6.621,2,3
,2,0,23.756,2,3
,3,0,11.794,2,3
24,1,0,14.395,1,3
25,1,0,29.031,3,3
27,1,1,5.064,3,3
,2,0,18.663,3,3
,3,0,6.987,4,3
,4,1,5.894,2,3
28,1,0,15.266,2,3
29,1,1,5.78,2,3
30,1,1,11.978,3,3
,2,0,4.885,3,3
31,1,0,6.133,3,3
,2,0,4.148,3,3
32,1,0,13.893,2,3
,2,1,8.933,2,3
,3,0,6.041,3,3
33,1,0,12.63,2,3
,2,0,14.375,4,3
34,1,1,10.543,3,3
0,1,0,19.182,2,3
1,1,0,36.152,2,3
,2,0,35.123,2,3
,3,0,17.109,1,3
,4,0,18.346,2,3
,5,1,23.321,2,3
2,1,0,6.628,3,3
,2,0,12.119,3,3
,3,0,10.373,2,3
3,1,0,19.624,3,3
,2,0,19.195,2,3
,3,0,14.773,2,3
4,1,0,9.785,3,3
,2,0,18.518,2,3
,3,1,9.762,2,3
5,1,0,19.217,3,3
,2,0,12.236,3,3
,3,1,27.77,2,3
6,1,1,11.127,2,3
,2,0,6.797,4,3
7,1,0,17.113,2,3
,2,0,9.767,2,3
8,1,0,33.216,2,3
,2,1,11.035,2,3
,3,1,5.761,3,3
9,1,1,24.092,3,3
,2,0,15.668,1,3
,3,1,21.695,2,3
10,1,0,17.743,2,3
,2,0,16.339,2,3
,3,0,15.82,3,3
,4,0,11.672,2,3
,5,0,20.467,2,3
,6,0,26.677,2,3
11,1,0,4.823,3,3
,2,1,14.778,2,3
,3,0,15.997,3,3
12,1,0,35.544,3,3
,2,0,35.396,2,3
,3,0,11.536,2,3
13,1,1,41.864,1,3
,2,1,8.909,2,3
,3,1,20.657,2,3
,4,1,10.718,2,3
14,1,0,9.78,2,3
15,1,1,17.244,2,3
,2,0,8.463,2,3
,3,0,13.087,3,3
,4,1,9.971,2,3
16,1,0,15.327,3,3
,2,1,9.547,3,3
,3,1,15.876,1,3
,4,1,14.078,2,3
,5,0,7.02,3,3
17,1,1,13.924,3,3
18,1,1,9.83,2,3
19,1,1,12.079,2,3
20,1,0,12.728,2,3
,2,0,16.266,2,3
,3,0,10.781,2,3
,4,1,14.856,2,3
,5,0,3.964,3,3
21,1,1,14.005,2,3
22,1,1,14.078,1,3
,2,1,13.026,2,3
,3,1,14.428,3,3
,4,1,6.552,3,3
23,1,0,9.516,3,3
,2,0,16.326,2,3
,3,1,15.745,2,3
24,1,0,26.975,2,3
,2,1,8.906,3,3
25,1,1,6.863,3,3
,2,0,8.948,3,3
,3,0,9.917,3,3
,4,1,9.339,3,3
,5,0,14.88,2,3
26,1,0,27.471,1,3
,2,0,22.599,2,3
27,1,1,17.766,1,3
28,1,0,10.903,3,3
29,1,0,22.266,1,3
,2,1,7.694,3,3
,3,1,16.286,1,3
,4,0,12.608,2,3
30,1,1,9.938,3,3
,2,1,11.938,2,3
,3,0,12.934,3,3
31,1,1,16.516,2,3
,2,0,7.731,2,3
,3,1,15.604,2,3
,4,0,7.596,2,3
