Slice,Area,file,id_number,TxRed,YFP
395,4319,1613,1,108.9910000000001,102.3060000000001
394,4394,1613,1,99.67699999999996,92.79099999999994
393,4325,1613,1,99.76499999999999,91.59900000000005
392,4266,1613,1,118.24000000000001,122.67500000000007
391,4406,1613,1,105.84699999999998,91.30800000000005
390,4267,1613,1,105.082,87.45400000000001
389,4372,1613,1,99.05000000000001,82.416
388,4773,1613,1,101.178,87.08299999999997
387,4282,1613,1,101.23600000000005,83.72399999999999
386,4792,1613,1,97.11899999999997,79.41799999999989
385,4506,1613,1,103.57699999999994,86.2770000000001
384,4595,1613,1,103.382,85.00200000000007
383,4765,1613,1,101.93,86.04500000000002
382,5037,1613,1,99.57900000000001,82.12099999999998
381,4747,1613,1,101.23000000000002,84.89600000000002
380,4105,1613,1,102.02399999999989,83.26999999999992
379,4434,1613,1,101.20300000000009,81.839
378,4477,1613,1,99.22500000000002,80.29599999999994
377,4488,1613,1,109.69500000000005,90.71299999999997
376,4527,1613,1,99.59200000000004,82.90999999999997
375,4469,1613,1,98.37300000000005,77.61900000000009
374,3622,1613,1,109.125,92.81899999999996
373,4139,1613,1,107.62299999999993,87.99699999999996
372,4555,1613,1,110.25700000000006,93.36500000000001
371,4352,1613,1,109.82900000000001,95.27400000000006
370,4308,1613,1,103.66099999999994,87.065
369,3914,1613,1,103.49299999999988,81.81299999999993
368,4015,1613,1,114.13600000000002,93.52900000000005
367,4466,1613,1,115.48500000000001,95.59900000000005
366,4420,1613,1,106.41800000000006,86.71000000000004
365,4591,1613,1,106.96600000000012,86.23599999999999
364,4258,1613,1,109.92999999999995,90.74099999999999
363,3852,1613,1,109.57000000000005,88.85399999999998
362,4606,1613,1,113.346,91.41599999999994
361,4304,1613,1,108.88600000000002,88.279
360,4487,1613,1,109.13499999999999,87.95299999999997
359,4324,1613,1,120.70500000000004,102.34099999999995
358,4410,1613,1,110.72900000000004,93.83699999999993
357,4246,1613,1,114.65700000000004,90.95799999999997
356,4470,1613,1,116.654,92.68899999999996
355,4361,1613,1,108.67500000000001,85.80100000000004
354,3979,1613,1,121.66000000000008,95.58600000000001
353,3967,1613,1,114.68999999999994,91.10600000000005
352,4328,1613,1,114.38299999999998,89.86599999999993
351,4460,1613,1,122.71699999999993,98.45400000000001
350,4057,1613,1,129.6169999999999,104.59900000000005
349,4030,1613,1,124.43299999999994,100.23399999999998
348,3943,1613,1,127.60499999999996,100.01999999999998
347,4153,1613,1,132.832,104.92699999999996
346,3932,1613,1,127.58599999999996,97.45099999999996
345,4091,1613,1,130.281,102.80400000000003
344,3773,1613,1,132.62300000000005,102.59700000000004
343,4119,1613,1,127.59100000000001,97.79200000000003
342,4348,1613,1,134.37099999999998,106.43599999999998
341,4042,1613,1,133.78000000000003,104.14099999999996
340,4029,1613,1,129.83499999999998,95.99200000000008
339,4510,1613,1,136.73800000000006,105.31000000000006
338,4029,1613,1,138.074,104.91699999999992
337,3906,1613,1,139.4530000000001,102.86899999999997
336,3743,1613,1,142.04400000000004,106.29399999999993
335,3845,1613,1,143.78399999999993,112.04900000000004
334,3749,1613,1,140.29899999999992,104.71699999999998
333,3865,1613,1,139.45799999999997,105.572
332,4074,1613,1,139.671,107.51100000000002
