Slice,Area,file,id_number,TxRed
190,444,1603,0,0.6910000000000309
189,474,1603,0,0.3450000000000273
188,454,1603,0,-0.4809999999999377
187,441,1603,0,-1.4080000000000155
186,417,1603,0,-1.76299999999992
185,405,1603,0,0.16100000000000136
184,376,1603,0,0.4189999999999827
183,702,1603,0,-0.6079999999999472
182,599,1603,0,0.32499999999998863
181,538,1603,0,0.9320000000000732
180,475,1603,0,-0.09900000000004638
179,446,1603,0,1.4180000000000632
178,415,1603,0,1.384999999999991
177,366,1603,0,1.70799999999997
176,341,1603,0,0.03499999999996817
175,282,1603,0,0.37800000000004275
174,465,1603,0,-0.8189999999999031
173,458,1603,0,-0.23900000000003274
172,413,1603,0,0.32900000000000773
171,392,1603,0,0.9479999999999791
170,355,1603,0,-0.21700000000004138
169,326,1603,0,0.8280000000000314
168,612,1603,0,1.1190000000000282
167,544,1603,0,1.4230000000000018
166,461,1603,0,-0.18599999999997863
165,396,1603,0,0.9009999999999536
164,363,1603,0,-1.2339999999999804
163,283,1603,0,0.38599999999996726
162,573,1603,0,1.0919999999999277
161,506,1603,0,0.5160000000000764
160,402,1603,0,-1.363999999999976
159,359,1603,0,0.44700000000005957
158,665,1603,0,2.3500000000000227
157,601,1603,0,-0.48399999999998045
156,543,1603,0,0.8450000000000273
155,511,1603,0,0.6089999999999804
154,722,1603,0,1.726000000000056
153,700,1603,0,0.5339999999999918
152,665,1603,0,1.0539999999999736
151,638,1603,0,0.7610000000000241
150,941,1603,0,1.5509999999999877
149,833,1603,0,1.766999999999996
148,785,1603,0,0.8519999999999754
147,681,1603,0,0.5799999999999841
146,647,1603,0,1.7440000000000282
145,578,1603,0,3.2899999999999636
144,899,1603,0,0.9409999999999741
143,765,1603,0,1.823000000000036
142,690,1603,0,1.5220000000000482
141,647,1603,0,0.4390000000000214
140,616,1603,0,1.559000000000026
139,546,1603,0,-0.16800000000000637
138,746,1603,0,0.6369999999999436
137,695,1603,0,1.1850000000000023
136,606,1603,0,1.632000000000005
135,635,1603,0,2.1850000000000023
134,523,1603,0,2.171000000000049
133,746,1603,0,0.19300000000004047
132,660,1603,0,0.9759999999999991
131,614,1603,0,0.41900000000003956
130,515,1603,0,0.3429999999999609
129,858,1603,0,0.5290000000000532
128,714,1603,0,2.1750000000000114
127,644,1603,0,-0.7950000000000159
126,572,1603,0,1.7589999999999577
125,509,1603,0,1.08400000000006
124,848,1603,0,1.759999999999991
123,737,1603,0,0.28899999999998727
122,617,1603,0,0.047999999999944976
121,583,1603,0,1.1100000000000136
120,483,1603,0,1.799000000000035
119,426,1603,0,2.363999999999919
118,691,1603,0,2.6240000000000236
117,662,1603,0,2.4250000000000114
116,591,1603,0,2.048000000000002
115,897,1603,0,2.350999999999999
114,705,1603,0,0.1139999999999759
113,663,1603,0,1.6970000000000596
112,585,1603,0,1.8559999999999945
111,513,1603,0,3.329999999999984
110,837,1603,0,0.27899999999999636
109,713,1603,0,0.8970000000000482
108,583,1603,0,0.6399999999999864
107,538,1603,0,3.2900000000000205
106,522,1603,0,1.4149999999999636
105,504,1603,0,2.891999999999996
104,493,1603,0,3.694000000000017
103,439,1603,0,4.000999999999976
102,432,1603,0,2.6299999999999955
101,389,1603,0,0.17900000000003047
100,620,1603,0,1.202000000000055
99,526,1603,0,2.0430000000000064
98,563,1603,0,1.8619999999999663
97,515,1603,0,2.0580000000000496
96,484,1603,0,1.731999999999971
95,443,1603,0,2.886000000000024
94,365,1603,0,1.774000000000001
93,362,1603,0,3.886000000000081
92,545,1603,0,1.7960000000000491
91,487,1603,0,2.0389999999999873
90,465,1603,0,1.6719999999999686
89,412,1603,0,3.745999999999981
88,415,1603,0,3.682999999999936
87,704,1603,0,2.4390000000000214
86,573,1603,0,2.372000000000014
85,532,1603,0,4.201999999999941
84,488,1603,0,0.023000000000024556
