Cp_con,YK0085
0.1,1.411
1.0,1.317
2.0,1.151
3.0,1.06
4.0,0.605
5.0,0.22
6.0,0.095
7.0,0.045
8.0,0.019
9.0,0.011000000000000001
10.0,0.006999999999999999
15.0,0.003
20.0,0.003
100.0,0.002
1000.0,0.001
