Cp_con,YK0085
0.1,1.5390000000000001
1.0,1.385
2.0,1.255
3.0,1.1159999999999999
4.0,0.755
5.0,0.419
6.0,0.158
7.0,0.053
8.0,0.08
9.0,0.024
10.0,0.022000000000000002
15.0,0.004
20.0,0.003
100.0,0.002
1000.0,0.001
