Cp_con,YK0085
0.1,1.492
1.0,1.3619999999999999
9.0,0.006999999999999999
10.0,0.004
11.0,0.004
12.0,0.004
13.0,0.003
14.0,0.003
100.0,0.002
1000.0,0.001
