Slice,Area,file,id_number,TxRed
150,958,1504,0,5.350999999999999
149,799,1504,0,4.521999999999991
148,668,1504,0,3.048999999999978
147,640,1504,0,4.183999999999969
146,511,1504,0,3.7969999999999686
145,589,1504,0,2.9090000000000487
144,562,1504,0,4.5049999999999955
143,517,1504,0,2.6200000000000045
142,438,1504,0,2.620999999999981
141,552,1504,0,1.0839999999999463
140,751,1504,0,2.8700000000000045
139,694,1504,0,1.100999999999999
138,768,1504,0,3.323000000000036
137,617,1504,0,3.4320000000000164
136,597,1504,0,2.2269999999999754
135,603,1504,0,2.5319999999999823
134,530,1504,0,2.6779999999999404
133,573,1504,0,0.9689999999999941
132,519,1504,0,2.4359999999999786
131,538,1504,0,1.9250000000000114
130,427,1504,0,1.002999999999929
129,428,1504,0,2.672999999999945
128,716,1504,0,3.3780000000000427
127,616,1504,0,3.262999999999977
126,665,1504,0,2.456999999999937
125,568,1504,0,2.9139999999999873
124,525,1504,0,2.214999999999975
123,522,1504,0,1.08299999999997
122,476,1504,0,3.3500000000000227
121,425,1504,0,3.4599999999999795
120,724,1504,0,1.9590000000000032
119,686,1504,0,1.0990000000000464
118,643,1504,0,-0.44700000000005957
117,650,1504,0,1.1619999999999777
116,578,1504,0,1.4169999999999732
115,519,1504,0,1.8659999999999854
114,775,1504,0,1.0669999999999504
113,731,1504,0,2.5579999999999927
112,654,1504,0,2.629000000000019
111,652,1504,0,0.9630000000000223
110,642,1504,0,2.8210000000000264
109,569,1504,0,1.4150000000000205
108,490,1504,0,3.259999999999991
107,433,1504,0,4.418000000000006
106,400,1504,0,3.633000000000038
105,360,1504,0,4.064999999999998
104,591,1504,0,4.0470000000000255
103,548,1504,0,3.9699999999999704
102,501,1504,0,4.728999999999985
101,436,1504,0,3.8029999999999404
100,680,1504,0,3.562999999999988
99,600,1504,0,4.569000000000017
98,543,1504,0,3.944000000000017
97,485,1504,0,4.888000000000034
96,440,1504,0,4.081000000000017
95,425,1504,0,4.057999999999993
94,389,1504,0,5.235000000000014
93,366,1504,0,7.6170000000000755
92,577,1504,0,5.979999999999961
91,539,1504,0,7.516999999999939
90,469,1504,0,6.442000000000007
89,453,1504,0,8.113000000000056
88,372,1504,0,5.810000000000002
87,615,1504,0,8.323000000000036
86,581,1504,0,7.704999999999984
85,483,1504,0,8.768000000000029
84,482,1504,0,10.305999999999983
83,432,1504,0,10.459000000000003
82,384,1504,0,11.844000000000051
81,363,1504,0,11.379000000000019
80,326,1504,0,10.655999999999949
79,569,1504,0,11.398999999999944
78,508,1504,0,10.418000000000006
77,448,1504,0,15.274999999999977
76,437,1504,0,15.822999999999979
75,434,1504,0,17.197999999999922
74,404,1504,0,20.42900000000003
73,334,1504,0,18.67100000000005
72,617,1504,0,19.877999999999986
71,536,1504,0,21.91500000000002
70,530,1504,0,21.399999999999977
69,482,1504,0,25.071999999999946
68,460,1504,0,29.287999999999954
67,402,1504,0,35.84200000000004
66,371,1504,0,44.71599999999995
65,347,1504,0,49.95500000000004
64,327,1504,0,53.202999999999975
63,278,1504,0,60.639999999999986
62,306,1504,0,62.33300000000003
61,326,1504,0,64.28399999999993
60,684,1504,0,90.22899999999998
59,656,1504,0,100.58800000000008
58,645,1504,0,108.81600000000003
57,593,1504,0,121.0270000000001
56,520,1504,0,140.16000000000003
55,473,1504,0,139.18400000000003
54,423,1504,0,144.08399999999995
53,403,1504,0,152.52800000000008
52,424,1504,0,149.9170000000001
51,373,1504,0,156.60499999999996
50,728,1504,0,160.22100000000012
49,674,1504,0,162.46800000000007
48,596,1504,0,157.17000000000002
47,558,1504,0,162.627
46,538,1504,0,165.841
45,477,1504,0,172.32399999999996
44,489,1504,0,172.12400000000002
43,411,1504,0,189.26799999999992
42,717,1504,0,153.55
41,690,1504,0,158.20300000000003
40,664,1504,0,161.85599999999994
39,646,1504,0,156.27500000000003
38,599,1504,0,160.913
37,576,1504,0,159.644
36,554,1504,0,154.44899999999996
35,541,1504,0,152.42400000000004
34,453,1504,0,-232.3199999999997
33,710,1504,0,-20.977999999999156
32,774,1504,0,-38.64800000000105
31,698,1504,0,142.64200000000005
30,650,1504,0,141.83599999999996
29,597,1504,0,145.38599999999997
28,514,1504,0,148.13400000000001
27,502,1504,0,135.43200000000007
26,428,1504,0,130.35300000000007
25,721,1504,0,146.707
24,681,1504,0,147.36400000000003
23,622,1504,0,143.78300000000002
22,609,1504,0,137.00799999999998
21,527,1504,0,142.32000000000005
20,501,1504,0,141.09699999999998
19,489,1504,0,140.20699999999994
18,686,1504,0,154.024
17,609,1504,0,164.474
16,602,1504,0,162.60899999999998
15,544,1504,0,167.9570000000001
14,519,1504,0,162.53199999999998
13,460,1504,0,164.62500000000006
12,750,1504,0,179.942
11,647,1504,0,186.32100000000008
10,609,1504,0,188.92399999999998
9,558,1504,0,194.17300000000006
8,536,1504,0,198.99200000000002
7,509,1504,0,202.19199999999995
6,481,1504,0,199.98200000000003
5,770,1504,0,219.4849999999999
4,711,1504,0,223.92000000000002
3,656,1504,0,229.97699999999998
2,625,1504,0,232.0279999999999
1,585,1504,0,234.296
