No,Cell,Deleted,dividing,flow away
0,13,7,1,0
1,13,5,3,0
2,13,5,1,1
3,12,3,0,2
4,13,6,0,0
5,13,5,0,1
6,9,2,0,1
7,11,3,0,1
8,13,7,1,1
9,13,5,0,1
10,10,5,2,0
11,10,3,0,1
12,13,3,0,1
13,13,6,3,0
14,12,6,0,0
15,13,5,0,2
16,12,7,0,3
18,11,4,2,0
19,12,4,1,0
20,12,6,1,3
21,12,5,0,0
22,13,2,0,0
23,12,4,0,1
24,13,5,1,1
25,12,6,2,1
26,13,4,0,1
27,11,6,0,2
28,13,2,0,0
29,11,4,2,0
30,12,5,3,1
31,11,1,0,0
32,11,3,1,1
33,10,3,1,1
34,13,8,5,0
35,12,4,2,0
36,13,4,0,1
37,13,2,2,0
38,13,4,2,2
39,12,4,1,3
40,11,2,1,1
41,13,4,2,1
