No,Cell,Deleted,dividing,flow away
0,13,5,0,2
1,12,4,0,1
2,12,3,0,0
3,11,4,0,0
4,10,4,0,1
5,12,4,0,0
6,13,5,0,0
7,13,3,0,0
8,11,5,0,0
9,9,2,0,0
10,12,5,0,0
11,11,5,0,0
12,13,4,0,0
13,11,3,0,2
14,10,4,0,0
15,10,2,0,0
16,12,5,0,0
17,9,1,0,0
18,5,1,0,0
19,8,2,0,0
20,7,3,0,1
21,3,1,0,0
22,8,3,0,0
23,5,2,0,1
24,9,8,0,1
25,11,7,0,2
26,6,3,0,0
27,11,7,1,1
28,7,4,0,0
29,7,3,0,1
30,5,1,0,0
31,8,4,0,0
32,5,1,0,0
33,10,4,0,1
34,8,4,0,1
35,10,2,0,0
36,10,2,0,0
37,11,6,1,0
38,10,6,0,1
39,12,3,0,0
40,9,4,0,0
41,12,6,0,1
42,11,2,0,0
43,12,3,0,0
44,8,4,0,0
45,9,3,0,0
46,10,5,0,0
47,13,3,0,0
