No,Cell,Deleted,dividing,flow away
0,7,3,2,0
1,6,1,0,0
2,9,0,0,0
3,9,0,0,0
4,7,2,0,0
5,9,1,1,0
6,8,2,1,0
7,8,3,3,0
8,8,3,2,1
9,4,1,0,0
10,8,0,0,0
11,8,2,1,1
12,8,2,2,0
13,7,1,0,1
14,8,2,0,1
15,8,4,3,0
16,8,4,2,0
17,9,2,0,2
18,8,2,2,0
19,9,1,1,0
20,9,4,2,1
21,8,1,0,1
22,7,2,1,0
23,9,1,1,0
24,7,0,0,0
25,8,3,2,0
26,8,2,2,0
27,7,1,1,0
28,7,1,1,0
29,9,3,1,2
30,8,2,1,0
31,6,1,1,0
32,8,2,1,1
33,9,2,0,1
34,6,0,0,0
35,5,1,0,0
36,7,4,2,1
37,4,1,0,1
38,7,3,1,0
39,1,0,0,0
40,4,1,0,0
41,5,1,0,0
42,7,3,2,0
43,8,6,3,2
44,6,2,2,0
45,7,2,1,1
46,7,2,2,0
47,8,5,2,1
48,9,4,3,1
49,7,4,3,0
50,7,3,3,0
51,7,3,2,0
52,8,4,4,0
53,6,1,1,0
54,7,1,0,1
55,7,2,2,0
56,7,2,1,1
57,9,3,3,0
58,8,0,0,0
59,9,0,0,0
60,8,3,2,0
61,7,1,0,1
62,6,0,0,0
63,6,2,0,0
64,8,2,2,0
65,9,3,0,0
66,8,1,1,0
67,8,4,2,0
68,9,3,2,1
69,7,4,2,0
70,7,1,1,0
71,8,3,1,0
72,9,4,3,0
73,5,1,0,0
74,9,1,1,0
,553,152,88,23
