Cp_con,YK0136,YK0137,YK0118
0.1,1.479,1.388,1.435
1,1.452,1.407,1.44
10,1.547,1.414,1.441
50,1.407,1.362,1.399
80,1.383,1.21,1.375
100,1.256,0.406,1.207
120,0.045,0.14,0.07
150,0.005,0.006,0.004
180,0.001,0.002,0.002
200,0.001,0.001,0.004
1000,0,0.001,0.001
