Cp_con,YK0136,YK0137,YK0118
0.1,1.465,1.436,1.444
1,1.469,1.441,1.427
10,1.415,1.407,1.453
50,1.412,1.258,1.396
80,1.362,0.407,1.32
100,0.054,0.01,0.27
120,0.009,0.011,0.019
150,0.004,0.001,0.007
180,0.002,0.001,0.001
200,0.001,-0.001,0.001
1000,0.001,-0.001,0.002
