Cp_con,YK0138,YK0139,MUS6,MUS16
0.1,1.514,1.485,1.495,1.446
1,1.352,1.307,1.362,1.283
3,0.702,0.265,0.794,0.318
5,0.058,0.014,0.06,0.023
8,0.005,0.003,0.004,0.004
10,0.004,0.003,0.003,0.003
12,0.004,0.003,0.003,0.003
15,0.003,0.005,0.003,0.002
100,0.001,0.002,0.002,0.002
1000,0.001,0.004,0.001,0.001
