 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_YFP:0430-0177-0081:initial_folder_20_0429,2364,544.984,80.468,175.757,430,1,2,186.283
2,ori_YFP:0429-0177-0081:initial_folder_20_0428,2344,543.439,81.096,174.930,429,0,3,187.275
3,ori_YFP:0428-0181-0081:initial_folder_20_0427,2402,548.841,80.907,177.512,428,0,4,186.458
4,ori_YFP:0427-0177-0080:initial_folder_20_0426,2294,541.366,80.712,172.238,427,0,5,187.757
5,ori_YFP:0426-0176-0081:initial_folder_20_0425,2282,539.780,80.972,171.108,426,0,6,189.156
6,ori_YFP:0425-0176-0081:initial_folder_20_0424,2306,540.912,80.692,170.700,425,0,7,188.998
7,ori_YFP:0424-0175-0080:initial_folder_20_0423,2255,536.538,80.889,170.801,424,0,8,187.915
8,ori_YFP:0423-0173-0080:initial_folder_20_0422,2231,547.982,80.639,169.598,423,0,9,189.370
9,ori_YFP:0422-0174-0080:initial_folder_20_0421,2213,549.688,80.558,170.072,422,0,10,190.539
10,ori_YFP:0421-0174-0081:initial_folder_20_0420,2225,540.160,81.006,167.142,421,0,11,190.176
11,ori_YFP:0420-0175-0080:initial_folder_20_0419,2159,541.232,80.695,166.744,420,0,12,190.781
12,ori_YFP:0419-0173-0080:initial_folder_20_0418,2160,543.633,80.767,165.526,419,0,13,190.597
13,ori_YFP:0418-0171-0080:initial_folder_20_0417,2136,549.710,80.548,164.989,418,0,14,191.227
14,ori_YFP:0417-0165-0080:initial_folder_20_0416,2047,544.682,80.805,160.407,417,0,15,191.117
15,ori_YFP:0416-0164-0080:initial_folder_20_0415,1974,543.889,80.992,159.225,416,0,16,192.800
16,ori_YFP:0415-0166-0080:initial_folder_20_0414,2106,542.953,80.398,164.022,415,0,17,190.789
17,ori_YFP:0414-0161-0080:initial_folder_20_0413,1988,547.450,80.589,158.315,414,0,18,193.440
18,ori_YFP:0413-0162-0080:initial_folder_20_0412,1930,551.839,80.896,157.837,413,0,19,193.320
19,ori_YFP:0412-0162-0081:initial_folder_20_0411,1998,550.460,80.934,157.275,412,0,20,192.966
20,ori_YFP:0411-0159-0081:initial_folder_20_0410,1999,546.807,81.131,157.120,411,0,21,193.821
21,ori_YFP:0410-0158-0081:initial_folder_20_0409,1978,546.668,81.165,156.657,410,0,22,193.831
22,ori_YFP:0409-0155-0080:initial_folder_20_0408,1956,538.858,81.148,154.187,409,0,23,192.437
23,ori_YFP:0408-0156-0081:initial_folder_20_0407,2015,534.452,81.183,155.015,408,0,24,193.331
24,ori_YFP:0407-0154-0081:initial_folder_20_0406,1928,543.174,81.183,153.102,407,0,25,192.974
25,ori_YFP:0406-0152-0081:initial_folder_20_0405,1905,539.390,81.291,151.785,406,0,26,195.078
26,ori_YFP:0405-0151-0081:initial_folder_20_0404,1957,536.258,81.191,151.599,405,0,27,194.859
27,ori_YFP:0404-0152-0081:initial_folder_20_0403,1889,541.311,81.138,151.937,404,0,28,196.901
28,ori_YFP:0403-0150-0080:initial_folder_20_0402,1893,536.553,81.208,152.120,403,0,29,195.753
29,ori_YFP:0402-0151-0081:initial_folder_20_0401,1884,529.182,80.850,152.217,402,0,30,194.580
30,ori_YFP:0401-0151-0080:initial_folder_20_0400,1920,526.546,80.845,151.668,401,0,31,197.861
31,ori_YFP:0400-0150-0080:initial_folder_20_0399,1886,525.822,80.697,151.598,400,0,32,197.573
32,ori_YFP:0399-0152-0080:initial_folder_20_0398,1885,526.971,80.754,152.425,399,0,33,199.670
33,ori_YFP:0398-0151-0080:initial_folder_20_0397,1892,522.040,80.549,151.530,398,0,34,197.660
34,ori_YFP:0397-0151-0081:initial_folder_20_0396,1865,525.784,80.738,152.381,397,0,35,198.398
35,ori_YFP:0396-0151-0080:initial_folder_20_0395,1865,531.661,80.889,151.914,396,0,36,196.341
36,ori_YFP:0395-0151-0081:initial_folder_20_0394,1851,526.682,80.832,151.705,395,0,37,197.725
37,ori_YFP:0394-0151-0080:initial_folder_20_0393,1855,522.197,80.997,152.233,394,0,38,201.125
38,ori_YFP:0393-0150-0081:initial_folder_20_0392,1833,524.492,80.730,151.193,393,0,39,200.143
39,ori_YFP:0392-0150-0081:initial_folder_20_0391,1839,518.215,80.709,151.155,392,0,40,200.567
40,ori_YFP:0391-0149-0081:initial_folder_20_0390,1822,516.419,80.910,150.478,391,0,41,198.339
41,ori_YFP:0390-0150-0080:initial_folder_20_0389,1835,513.465,80.805,151.457,390,0,42,200.564
42,ori_YFP:0389-0150-0081:initial_folder_20_0388,1822,515.889,80.889,150.611,389,0,43,200.822
43,ori_YFP:0388-0150-0081:initial_folder_20_0387,1842,513.156,80.496,150.851,388,0,44,201.099
44,ori_YFP:0387-0149-0080:initial_folder_20_0386,1816,512.104,80.486,150.523,387,0,45,201.096
45,ori_YFP:0386-0148-0081:initial_folder_20_0385,1850,517.532,81.041,149.721,386,0,46,202.344
46,ori_YFP:0385-0148-0081:initial_folder_20_0384,1791,519.966,80.997,149.094,385,0,47,198.819
47,ori_YFP:0384-0149-0081:initial_folder_20_0383,1799,515.487,80.459,150.413,384,0,48,200.458
48,ori_YFP:0383-0149-0080:initial_folder_20_0382,1795,518.653,80.174,150.011,383,0,49,201.077
49,ori_YFP:0382-0148-0080:initial_folder_20_0381,1801,512.771,80.313,150.094,382,0,50,201.998
50,ori_YFP:0381-0149-0080:initial_folder_20_0380,1806,513.216,80.433,150.461,381,0,51,203.912
51,ori_YFP:0380-0144-0080:initial_folder_20_0379,1817,515.968,79.737,145.172,380,0,52,203.767
52,ori_YFP:0379-0142-0079:initial_folder_20_0378,1763,514.279,79.250,142.988,379,0,53,204.166
53,ori_YFP:0378-0139-0079:initial_folder_20_0377,1783,528.536,79.387,141.423,378,0,54,204.803
54,ori_YFP:0377-0139-0079:initial_folder_20_0376,1794,512.692,79.345,139.852,377,0,55,204.528
55,ori_YFP:0376-0140-0079:initial_folder_20_0375,1757,520.978,79.477,139.899,376,0,56,204.720
56,ori_YFP:0375-0140-0080:initial_folder_20_0374,1727,523.656,79.585,139.674,375,0,57,206.725
57,ori_YFP:0374-0139-0080:initial_folder_20_0373,1698,525.420,79.557,138.900,374,0,58,205.511
58,ori_YFP:0373-0139-0080:initial_folder_20_0372,1700,521.168,79.545,138.736,373,0,59,206.048
59,ori_YFP:0372-0138-0079:initial_folder_20_0371,1737,517.427,79.383,138.644,372,0,60,206.852
60,ori_YFP:0371-0138-0079:initial_folder_20_0370,1717,515.365,79.258,138.736,371,0,61,205.230
61,ori_YFP:0370-0138-0079:initial_folder_20_0369,1700,513.751,79.267,138.477,370,0,62,207.167
62,ori_YFP:0369-0138-0079:initial_folder_20_0368,1720,515.930,79.382,138.970,369,0,63,207.376
63,ori_YFP:0368-0136-0079:initial_folder_20_0367,1682,517.583,79.345,136.044,368,0,64,207.072
64,ori_YFP:0367-0135-0079:initial_folder_20_0366,1657,522.261,79.287,136.531,367,0,65,208.071
65,ori_YFP:0366-0134-0080:initial_folder_20_0365,1655,522.236,79.550,134.241,366,0,66,206.984
66,ori_YFP:0365-0134-0080:initial_folder_20_0364,1675,520.325,79.268,134.069,365,0,67,208.459
67,ori_YFP:0364-0133-0079:initial_folder_20_0363,1603,522.256,79.145,133.890,364,0,68,208.702
68,ori_YFP:0363-0132-0079:initial_folder_20_0362,1630,521.039,79.145,133.528,363,0,69,207.397
69,ori_YFP:0362-0133-0079:initial_folder_20_0361,1600,517.559,79.268,133.587,362,0,70,207.712
70,ori_YFP:0361-0132-0079:initial_folder_20_0360,1602,522.062,79.121,133.399,361,0,71,208.454
71,ori_YFP:0360-0133-0079:initial_folder_20_0359,1573,525.463,79.201,132.317,360,0,72,208.335
72,ori_YFP:0359-0132-0079:initial_folder_20_0358,1577,523.954,78.851,132.685,359,0,73,210.564
73,ori_YFP:0358-0132-0079:initial_folder_20_0357,1583,530.036,79.156,132.417,358,0,74,209.616
74,ori_YFP:0357-0132-0079:initial_folder_20_0356,1596,524.898,79.193,132.393,357,0,75,210.249
75,ori_YFP:0356-0132-0079:initial_folder_20_0355,1577,528.968,79.061,132.330,356,0,76,210.141
76,ori_YFP:0355-0131-0079:initial_folder_20_0354,1592,518.319,79.078,131.807,355,0,77,210.493
77,ori_YFP:0354-0131-0078:initial_folder_20_0353,1555,526.864,79.061,131.239,354,0,78,211.122
78,ori_YFP:0353-0131-0079:initial_folder_20_0352,1547,532.317,79.287,132.319,353,0,79,210.982
79,ori_YFP:0352-0131-0079:initial_folder_20_0351,1560,537.948,79.102,132.589,352,0,80,213.654
80,ori_YFP:0351-0131-0079:initial_folder_20_0350,1523,541.758,79.226,132.433,351,0,81,212.744
81,ori_YFP:0350-0131-0079:initial_folder_20_0349,1580,531.240,79.115,132.297,350,0,82,212.333
82,ori_YFP:0349-0130-0078:initial_folder_20_0348,1540,537.581,78.912,130.833,349,0,83,213.974
83,ori_YFP:0348-0129-0079:initial_folder_20_0347,1552,530.600,79.133,130.279,348,0,84,208.975
84,ori_YFP:0347-0130-0078:initial_folder_20_0346,1525,529.763,78.970,130.234,347,0,85,210.010
85,ori_YFP:0346-0129-0078:initial_folder_20_0345,1518,539.348,79.028,130.136,346,0,86,208.308
86,ori_YFP:0345-0129-0079:initial_folder_20_0344,1531,536.850,79.174,130.072,345,0,87,210.355
87,ori_YFP:0344-0129-0078:initial_folder_20_0343,1507,532.717,78.458,129.990,344,0,88,208.687
88,ori_YFP:0343-0129-0077:initial_folder_20_0342,1498,527.255,78.625,129.795,343,0,89,209.581
89,ori_YFP:0342-0128-0077:initial_folder_20_0341,1495,524.918,78.199,130.001,342,0,90,207.556
90,ori_YFP:0341-0128-0077:initial_folder_20_0340,1503,531.958,78.307,129.298,341,0,91,213.009
91,ori_YFP:0340-0126-0079:initial_folder_20_0339,1528,540.429,79.101,127.589,340,0,92,212.308
92,ori_YFP:0339-0124-0079:initial_folder_20_0338,1462,550.350,78.890,126.111,339,0,93,214.490
93,ori_YFP:0338-0124-0078:initial_folder_20_0337,1452,555.875,79.064,126.468,338,0,94,213.768
94,ori_YFP:0337-0122-0078:initial_folder_20_0336,1443,554.651,79.150,125.578,337,0,95,210.805
95,ori_YFP:0336-0122-0079:initial_folder_20_0335,1446,547.840,79.282,124.954,336,0,96,209.122
96,ori_YFP:0335-0124-0079:initial_folder_20_0334,1453,545.399,79.195,126.426,335,0,97,208.444
97,ori_YFP:0334-0124-0079:initial_folder_20_0333,1428,529.852,79.246,126.513,334,0,98,205.754
98,ori_YFP:0333-0125-0079:initial_folder_20_0332,1407,544.342,79.321,127.669,333,0,99,214.045
99,ori_YFP:0332-0124-0078:initial_folder_20_0331,1428,540.620,79.026,127.601,332,0,100,215.719
100,ori_YFP:0331-0123-0078:initial_folder_20_0330,1421,543.265,79.237,128.476,331,0,101,212.126
101,ori_YFP:0330-0121-0078:initial_folder_20_0329,1410,545.205,78.999,124.148,330,0,102,218.273
102,ori_YFP:0329-0120-0078:initial_folder_20_0328,1370,535.461,78.849,123.065,329,0,103,219.950
103,ori_YFP:0328-0121-0078:initial_folder_20_0327,1347,535.753,78.825,123.538,328,0,104,215.816
104,ori_YFP:0327-0121-0078:initial_folder_20_0326,1381,543.670,78.786,123.260,327,0,105,217.589
105,ori_YFP:0326-0119-0078:initial_folder_20_0325,1377,540.925,78.896,122.754,326,0,106,217.643
106,ori_YFP:0325-0118-0078:initial_folder_20_0324,1313,545.154,78.830,120.134,325,0,107,215.802
107,ori_YFP:0324-0119-0078:initial_folder_20_0323,1328,542.988,78.958,121.341,324,0,108,214.725
108,ori_YFP:0323-0118-0078:initial_folder_20_0322,1343,531.158,78.956,120.566,323,0,109,216.152
109,ori_YFP:0322-0118-0078:initial_folder_20_0321,1354,529.935,79.009,120.054,322,0,110,214.010
110,ori_YFP:0321-0117-0078:initial_folder_20_0320,1314,541.733,78.907,119.297,321,0,111,210.903
111,ori_YFP:0320-0117-0078:initial_folder_20_0319,1302,534.523,78.707,118.922,320,0,112,210.122
112,ori_YFP:0319-0119-0079:initial_folder_20_0318,1277,528.821,78.944,119.411,319,0,113,207.778
113,ori_YFP:0318-0119-0079:initial_folder_20_0317,1303,525.545,79.040,119.400,318,0,114,207.203
114,ori_YFP:0317-0117-0079:initial_folder_20_0316,1288,525.109,79.142,119.088,317,0,115,202.767
115,ori_YFP:0316-0116-0079:initial_folder_20_0315,1312,551.755,79.040,118.500,316,0,116,236.315
116,ori_YFP:0315-0116-0079:initial_folder_20_0314,1247,550.971,79.081,116.980,315,0,117,230.459
117,ori_YFP:0314-0115-0078:initial_folder_20_0313,1261,548.698,78.851,117.038,314,0,118,228.962
118,ori_YFP:0313-0116-0077:initial_folder_20_0312,1228,545.933,78.644,117.637,313,0,119,223.309
