 ,Label,Area,Mean,XM,YM,Slice,LastIndex,PreviousCell,Background
1,ori_ph:0373-0305-0090:initial_folder_680_0372,814,1169.133,91.515,305.815,373,1,2,1076.666
2,ori_ph:0372-0267-0091:initial_folder_680_0371,852,1004.812,91.896,267.134,372,0,3,1074.894
3,ori_ph:0371-0250-0091:initial_folder_680_0370,818,987.633,92.001,250.546,371,0,4,1075.508
4,ori_ph:0370-0249-0091:initial_folder_680_0369,779,989.905,91.986,249.410,370,0,5,1077.528
5,ori_ph:0369-0254-0092:initial_folder_680_0368,735,998.472,91.992,254.960,369,0,6,1097.378
6,ori_ph:0368-0227-0092:initial_folder_680_0367,677,986.716,92.491,227.495,368,0,7,1090.824
7,ori_ph:0367-0222-0092:initial_folder_680_0366,610,975.431,92.449,222.694,367,0,8,1087.574
8,ori_ph:0366-0219-0093:initial_folder_680_0365,601,982.767,92.689,219.537,366,0,9,1085.028
9,ori_ph:0365-0217-0092:initial_folder_680_0364,556,995.613,92.599,217.549,365,0,10,1083.377
10,ori_ph:0364-0215-0093:initial_folder_680_0363,504,985.002,92.669,215.444,364,0,11,1085.512
11,ori_ph:0363-0225-0092:initial_folder_680_0362,839,984.423,92.796,225.935,363,0,12,1083.745
12,ori_ph:0362-0223-0093:initial_folder_680_0361,765,978.357,92.995,223.492,362,0,13,1081.305
13,ori_ph:0361-0221-0093:initial_folder_680_0360,734,980.845,93.008,221.555,361,0,14,1083.665
14,ori_ph:0360-0218-0093:initial_folder_680_0359,654,995.758,93.130,218.088,360,0,15,1082.433
15,ori_ph:0359-0216-0093:initial_folder_680_0358,589,987.779,93.058,216.133,359,0,16,1080.006
16,ori_ph:0358-0213-0093:initial_folder_680_0357,554,985.697,93.272,213.574,358,0,17,1078.341
17,ori_ph:0357-0210-0094:initial_folder_680_0356,540,989.517,93.641,210.740,357,0,18,1077.177
18,ori_ph:0356-0207-0094:initial_folder_680_0355,469,983.094,93.964,208.328,356,0,19,1080.291
19,ori_ph:0355-0209-0094:initial_folder_680_0354,429,985.734,94.199,209.324,355,0,20,1090.909
