BL_time,Time,Total,FL+,FL-
0 hr,0,157,137,20
15 min ,0.25,163,120,43
30 min,0.5,154,87,67
1 hr,1,153,20,133
2 hr,2,148,4,144
4 hr,4,135,0,135
6 hr,6,46,0,46
